cue,response,relation
liberty,freedom,Synonym
liberty,freedom,Synonym
liberty,freedom,Synonym
miles,distance,Synonym
miles,distance,Synonym
miles,distance,Synonym
miles,distance,Synonym
payment,money,Category-Exemplar-Pairs
payment,money,Category-Exemplar-Pairs
payment,money,Category-Exemplar-Pairs
payment,money,Category-Exemplar-Pairs
payment,money,Category-Exemplar-Pairs
radioactive,energy,Result-In
radioactive,energy,Result-In
reality,life,Synonym
reality,life,Synonym
reality,life,Synonym
refreshment,drink,Members-of-the-same-Category
refreshment,drink,Category-Exemplar-Pairs
refreshment,drink,Members-of-the-same-Category
restaurant,food,Location
restaurant,food,Location
restaurant,food,Location
restaurant,food,Location
restaurant,food,Location
salad,dressing,Emotion-Evaluation
salad,dressing,Emotion-Evaluation
salad,dressing,Emotion-Evaluation
salad,dressing,Emotion-Evaluation
shark,teeth,PartOf
shark,teeth,PartOf
shark,teeth,PartOf
space,stars,Location
space,stars,Location
space,stars,Location
space,stars,Location
starting,first,Has-Prerequisite
starting,first,Has-Prerequisite
starting,first,Has-Prerequisite
utilize,advantage,Result-In
utilize,advantage,Result-In
utilize,advantage,Result-In
weeping,sad,Emotion-Evaluation
weeping,sad,Emotion-Evaluation
weeping,sad,Emotion-Evaluation
weeping,sad,Emotion-Evaluation
baked,goods,Material-MadeOf
baked,goods,Material-MadeOf
baked,goods,Material-MadeOf
believable,trustworthy,Synonym
believable,trustworthy,Synonym
believable,trustworthy,Synonym
bright,smart,HasProperty
bright,smart,HasProperty
bright,smart,HasProperty
career,money,Has-Prerequisite
career,money,Has-Prerequisite
career,money,Has-Prerequisite
catcher,ball,Function
catcher,ball,Function
catcher,ball,Function
chanting,crowd,Action
chanting,crowd,Action
chanting,crowd,Action
clean,neat,Synonym
clean,neat,Synonym
clean,neat,Synonym
clench,fist,Action
clench,fist,Action
clock,time,Time
clock,time,Time
clock,time,Time
clock,time,Time
clock,time,Time
clock,time,Time
clock,time,Time
clock,time,Time
comrade,friend,Synonym
comrade,friend,Synonym
comrade,friend,Synonym
comrade,friend,Synonym
comrade,friend,Synonym
court,judge,PartOf
court,judge,PartOf
court,judge,PartOf
court,judge,PartOf
curvy,shape,Category-Exemplar-Pairs
curvy,shape,Category-Exemplar-Pairs
curvy,shape,Category-Exemplar-Pairs
curvy,shape,Category-Exemplar-Pairs
darkness,light,Antonym
darkness,light,Antonym
darkness,light,Antonym
disaster,natural,Category-Exemplar-Pairs
disaster,natural,Category-Exemplar-Pairs
disaster,natural,Common-Phrase
disaster,natural,Category-Exemplar-Pairs
disaster,natural,Category-Exemplar-Pairs
domestic,home,Location
domestic,home,Location
domestic,home,Location
drove,car,Action
drove,car,Action
drove,car,Action
drove,car,Action
drove,car,Action
elevated,high,Synonym
elevated,high,Synonym
elevated,high,Synonym
fatherly,figure,Category-Exemplar-Pairs
fatherly,figure,Category-Exemplar-Pairs
fatherly,figure,Category-Exemplar-Pairs
favor,prefer,Synonym
favor,prefer,Synonym
favor,prefer,Synonym
favor,prefer,Synonym
flowing,water,Action
flowing,water,Action
flowing,water,Action
friend,best,Function
friend,best,Function
friend,best,Function
friend,best,Function
goalie,save,Function
goalie,save,Function
goalie,save,Function
grater,cheese,Function
grater,cheese,Function
grater,cheese,Function
grater,cheese,Function
green,grass,Category-Exemplar-Pairs
green,grass,Category-Exemplar-Pairs
green,grass,HasProperty
green,grass,Category-Exemplar-Pairs
hungry,stomach,Emotion-Evaluation
hungry,stomach,Emotion-Evaluation
hungry,stomach,Emotion-Evaluation
idiotic,stupid,Synonym
idiotic,stupid,Synonym
idiotic,stupid,Synonym
idiotic,stupid,Synonym
leaves,autumn,Time
leaves,autumn,Time
leaves,autumn,Time
lieutenant,army,PartOf
lieutenant,army,PartOf
lieutenant,army,PartOf
lonely,alone,Emotion-Evaluation
lonely,alone,Emotion-Evaluation
lonely,alone,Emotion-Evaluation
lord,god,Synonym
lord,god,Synonym
lord,god,Synonym
melted,chocolate,Has-Prerequisite
melted,chocolate,Has-Prerequisite
melted,chocolate,Has-Prerequisite
military,army,PartOf
military,army,PartOf
military,army,PartOf
military,army,PartOf
millions,money,Category-Exemplar-Pairs
millions,money,Category-Exemplar-Pairs
millions,money,Category-Exemplar-Pairs
necessary,needed,Synonym
necessary,needed,Synonym
necessary,needed,Synonym
pharmacy,drugs,Location
pharmacy,drugs,Location
pharmacy,drugs,Location
plea,beg,Synonym
plea,beg,Synonym
pocket,wallet,Location
pocket,wallet,Location
pocket,wallet,Location
pocket,wallet,Location
pray,church,Location
pray,church,Location
pray,church,Location
printer,ink,PartOf
printer,ink,PartOf
printer,ink,PartOf
printer,ink,PartOf
promise,keep,Common-Phrase
promise,keep,Common-Phrase
promise,keep,Common-Phrase
reading,glasses,Function
reading,glasses,Function
reading,glasses,Function
running,race,Category-Exemplar-Pairs
running,race,Category-Exemplar-Pairs
saving,money,Action
saving,money,Action
saving,money,Action
saving,money,Action
saving,money,Action
singular,one,Synonym
singular,one,Synonym
singular,one,Synonym
skunk,smell,HasProperty
skunk,smell,HasProperty
skunk,smell,HasProperty
skunk,smell,HasProperty
skunk,smell,HasProperty
skunk,smell,HasProperty
spare,tire,PartOf
spare,tire,PartOf
spare,tire,PartOf
spare,tire,PartOf
spare,tire,PartOf
summer,hot,Common-Phrase
summer,hot,Common-Phrase
summer,hot,Common-Phrase
summer,hot,Common-Phrase
surpass,beyond,Common-Phrase
surpass,beyond,Synonym
surpass,beyond,Synonym
thousand,money,Category-Exemplar-Pairs
thousand,money,Category-Exemplar-Pairs
thousand,money,Category-Exemplar-Pairs
weeping,willow,Action
weeping,willow,Action
weeping,willow,Action
weeping,willow,Action
writing,book,Action
writing,book,Action
writing,book,Action
writing,book,Action
