cue,response,relation,frequency
floor,area,E-part,1
floor,hard,E-prop,1
flowing,water,S-action,3
flowing,waves,E-prop,1
following,after,T-syn,1
following,fans,T-cat,1
freedom,independent,T-syn,1
gelatin,dessert,S-func,2
genius,brilliant,E-prop,1
giving,donation,S-action,1
giving,kind,I-emo,1
giving,taking,T-ant,1
glass,break,S-action,1
glasses,bifocals,T-cat,1
glittery,bright,E-prop,1
glittery,decorate,E-prop,1
glutton,food,S-action,1
glutton,overeat,E-prop,1
goalie,save,S-action,3
goalie,score,S-func,1
going,leaving,T-syn,1
going,traveling,T-syn,1
goodness,appraised,S-action,1
goodness,benevolence,T-syn,1
grand,large,T-syn,1
grandmother,mom,T-cat,1
grater,cheese,S-func,4
green,grass,E-prop,4
greeter,hello,S-action,2
grinding,shiny,S-result,1
group,people,E-part,2
guess,answer,S-action,1
guess,designer,T-cat,1
guess,insufficient,S-result,1
guess,unsure,S-result,1
guest,show,S-loc,1
gypsy,europe,S-loc,1
gypsy,natalie,S-action,1
gypsy,people,T-cat,1
happening,current,S-time,1
happening,flop,S-them,1
happening,wahlberg,S-them,1
hatch,chicken,S-action,1
heaven,god,S-loc,3
hitch,interrupt,S-action,1
hitch,problem,S-result,1
holding,carrying,T-syn,1
honey,sweet,E-prop,1
horrified,disgusted,T-syn,1
hotel,brolin,S-them,1
hotel,reservations,S-action,1
humane,animals,S-them,1
humane,ethical,T-syn,1
hungry,food,S-preq,2
hungry,stomach,S-result,3
hydrate,exercise,S-action,1
idiom,advice,S-func,1
idiom,comparison,S-func,1
idiotic,stupid,T-syn,4
igloo,cold,E-prop,5
ignition,car,E-part,1
ignition,flames,S-result,1
ignition,fuel,S-preq,1
implement,enact,T-syn,1
impossible,achieve,I-emo,1
impossible,cruise,S-them,1
impossible,unable,T-syn,1
improbable,impossible,T-coord,1
indecent,exposed,S-result,1
information,facts,T-cat,1
instant,hurried,T-syn,1
interest,hobbies,T-syn,1
interested,intrigued,T-syn,1
intuitive,gut,E-prop,1
jacket,fall,S-time,1
jungle,exotic,E-prop,1
junior,schwarzenegger,S-them,1
laughter,kids,S-action,1
laughter,playground,S-loc,1
leaves,autumn,S-time,3
leaving,denver,S-them,1
legal,case,E-prop,1
lesson,learn,S-action,2
liberty,freedom,T-syn,2
lieutenant,army,E-part,3
lieutenant,officer,T-cat,1
lieutenant,substitute,S-func,1
listening,friend,S-action,1
lobby,space,T-cat,1
lonely,alone,I-emo,2
lonely,depressed,S-result,1
loosen,release,S-result,1
lord,god,T-syn,3
lover,doris,S-them,1
lover,simon,S-them,1
loving,caretaker,I-emo,1
loving,tender,T-coord,1
magazine,celebrities,S-loc,1
magazine,vogue,T-cat,1
majority,most,T-syn,1
makeup,beautiful,S-func,1
makeup,colorful,E-prop,1
melted,chocolate,S-action,3
memory,mind,E-part,1
miles,distance,S-them,3
military,army,E-part,4
millions,money,S-them,3
misguided,wrong,T-syn,1
mommy,child,S-them,1
mommy,daddy,T-coord,1
month,july,T-cat,1
mountain,fuji,T-cat,1
movie,scripted,E-prop,1
moving,poignant,T-syn,1
nature,beautiful,E-prop,1
necessary,needed,T-syn,3
obedient,listens,S-preq,1
obstruct,plan,S-action,1
operator,phone,S-them,1
operator,sade,S-them,1
operator,user,T-syn,1
opinion,disagreement,S-result,1
order,fries,S-action,1
organization,company,T-syn,1
outspoken,loud,E-prop,1
outspoken,vehement,E-prop,1
overdue,book,S-time,1
overdue,fine,S-result,1
paper,plastic,T-coord,1
passing,another,S-action,1
passing,cautious,S-action,1
patient,hospital,S-loc,1
payment,money,S-func,3
pensive,elderly,E-prop,1
permission,allow,T-syn,1
permission,grant,S-action,1
permission,school,S-preq,1
permission,songs,S-preq,1
permission,warrant,S-result,1
pharmacy,drugs,S-loc,3
piece,whole,E-part,1
plague,death,S-result,1
planet,pluto,T-cat,1
platypus,eggs,S-action,1
plea,beg,T-syn,2
pocket,wallet,S-loc,4
poison,dangerous,E-prop,1
politics,republicans,T-cat,1
position,job,T-syn,1
position,second,S-them,1
position,third,T-cat,1
possibility,anything,S-result,1
possibility,choose,S-action,1
possibility,face,S-action,1
possibility,odds,S-them,1
possible,can,T-syn,1
possible,chance,T-syn,1
possible,could,S-preq,1
possible,viable,T-syn,1
powder,face,S-loc,1
pray,church,S-loc,3
prepared,plan,S-result,1
pressure,constraint,S-result,1
priest,religious,E-prop,1
princess,daughter,T-cat,1
printer,cartridge,E-part,1
printer,ink,E-part,4
priority,concern,T-syn,1
priority,rush,S-preq,1
profit,money,T-cat,1
prohibition,denied,S-action,1
promise,keep,S-action,3
promote,good,S-preq,1
promote,higher,S-result,1
protect,rights,S-func,1
prove,theory,S-action,1
publicity,celebrity,S-them,1
publicity,press,S-func,1
pulse,heart,S-func,1
purpose,meaning,T-syn,1
purpose,reason,T-syn,1
quick,fast,T-syn,1
quick,time,S-time,1
radar,speeding,S-func,1
radioactive,atoms,S-result,1
radioactive,energy,E-prop,1
radioactive,nuclear,E-prop,1
raspberry,jam,E-mat,1
rational,smart,E-prop,1
ready,start,S-time,1
ready,time,S-time,1
realistic,pragmatic,T-syn,1
reality,fantasy,T-ant,1
reality,living,S-action,1
reason,accept,S-action,1
reason,persuade,S-preq,1
record,audio,E-part,1
refreshment,drink,T-cat,2
refreshment,water,T-cat,1
refuge,safe,S-preq,1
refuge,security,T-syn,1
reign,king,S-func,1
reign,subjects,S-action,1
report,sound,E-prop,1
responsible,adult,E-prop,1
restaurant,food,S-loc,4
restaurant,gather,S-loc,1
retrospect,past,S-time,1
review,evaluate,T-syn,1
roller,spin,S-func,1
round,circle,E-prop,1
running,race,S-action,2
runny,mucus,E-prop,1
safe,fearless,S-result,1
safe,relieved,S-result,1
salad,dressing,S-them,2
salsa,spicy,E-prop,1
sandpaper,wood,S-func,1
saving,money,S-action,4
savior,christ,T-cat,1
scared,ghost,I-emo,1
scared,murder,I-emo,1
scout,evaluate,S-func,1
scout,investigate,T-syn,1
scrap,rid,T-syn,1
senator,party,E-part,1
senator,vote,S-action,1
sending,receiving,T-ant,1
series,string,E-part,1
shadowy,dark,E-prop,1
shady,sneaky,T-syn,1
shady,tree,S-result,1
shaker,pepper,S-loc,1
shape,condition,T-syn,1
shark,teeth,E-part,2
shrivel,wither,S-result,1
shrubbery,garden,S-loc,1
signal,indication,T-syn,1
signal,inform,S-func,1
signal,react,S-result,1
silver,utensils,E-prop,1
simple,living,S-them,1
single,one,T-syn,1
singular,one,T-syn,3
sister,daughter,T-coord,1
skill,hobby,S-result,1
skill,sports,S-them,1
skunk,smell,E-prop,6
sling,long,E-prop,1
sling,support,S-func,1
soldier,billy,S-them,1
soldier,fighter,T-cat,1
soldier,tomb,S-loc,1
space,stars,E-part,3
special,interesting,T-syn,1
special,unique,T-syn,1
spotted,leopard,E-prop,1
stairs,floors,E-part,1
stall,car,S-action,1
stance,posture,T-syn,1
standing,feet,S-result,1
standing,posture,S-result,1
starting,show,S-action,1
steady,endurance,S-preq,1
steady,race,S-action,1
steady,stable,T-syn,1
stick,match,E-prop,1
store,purchase,S-loc,1
story,author,S-func,1
strand,thread,E-part,1
strategic,calculated,T-syn,1
strategic,tactical,T-syn,1
summer,hot,E-prop,4
support,politician,S-action,1
supportive,helpful,T-syn,1
surpass,beyond,T-syn,3
surpass,excel,T-syn,1
surprise,birthday,S-time,1
tablet,ipad,T-cat,1
tactful,conversation,S-action,1
tactful,words,S-preq,1
temptation,dessert,I-emo,1
thousand,million,T-coord,1
thousand,money,S-them,3
throat,sore,E-prop,1
tired,feel,I-emo,1
tired,work,S-result,1
total,all,T-syn,1
tradition,jimmy,S-them,1
trial,verdict,S-result,1
truth,honest,T-syn,1
twist,cap,S-action,1
understand,language,S-action,1
utilize,advantage,S-action,1
vacation,chevy,S-them,1
vacuum,noisy,E-prop,1
vampire,sharp,E-prop,1
vampire,sunlight,S-them,1
vegetation,food,S-func,1
vegetation,water,S-preq,1
violate,breach,T-syn,1
vivid,bright,E-prop,1
volcano,helens,T-cat,1
waste,bad,I-emo,1
waste,money,S-action,1
weekend,break,S-time,1
weekend,yardwork,S-time,1
weeping,sad,S-result,3
weirdo,unique,E-prop,1
woman,breasts,E-part,1
woman,pregnancy,E-prop,1
wonder,awe,T-syn,1
wonder,contemplate,T-syn,1
working,computer,S-func,1
worried,scared,T-syn,1
worry,weather,I-emo,1
wounds,heal,S-action,1
wrath,punishment,I-emo,1
writing,book,S-action,4
writing,essay,S-action,1
yelling,loud,E-prop,1
