cue,category,feature,relation,association,nWords,frequency
anvil,Tools,made of iron,E-MAT,iron,1,13
apple,Fruits,is eaten,S-ACTION,eaten,1,6
apple,Fruits,a fruit,T-SUPER,fruit,1,11
apple,Fruits,eg - green,T-SUBORD,green,1,8
apple,Fruits,eg - red,T-SUBORD,red,1,8
apple,Fruits,has vitamins,E-INCOMP,vitamins,1,5
apple,Fruits,tastes good,I-EVAL,good,1,13
apple,Fruits,I like it,I-EVAL,like,1,NA
arch,Constructions,door,T-SYN,door,1,5
arch,Constructions,Arch of Triumph,T-SUBORD,Arch of Triumph,3,NA
arch,Constructions,found in the entrance,S-LOC,entrance,1,7
arm,Body parts,a part of the body,E-WHOLE,body,1,9
arm,Body parts,used for hugging,S-FUNC,hugging,1,7
arm,Body parts,used for pointing,S-FUNC,pointing,1,5
arm,Body parts,is useful,I-EVAL,useful,1,6
armadillo,Animals,an animal,T-SUPER,animal,1,17
armadillo,Animals,is eaten,S-ACTION,eaten,1,6
armadillo,Animals,is furry,E-EXSURF,furry,1,5
armadillo,Animals,is small,E-QUANT,small,1,5
armadillo,Animals,tastes good,I-EVAL,good,1,5
armadillo,Animals,has a shell,E-EXCOMP,shell,1,11
armadillo,Animals,lives in a hole,S-LOC,hole,1,6
armadillo,Animals,lives in the countryside,S-LOC,countryside,1,14
arrow,Weapons,used for hunting,S-FUNC,hunting,1,10
arrow,Weapons,a weapon,T-SUPER,weapon,1,9
arrow,Weapons,used by native people,S-PERSON,native people,2,9
arrow,Weapons,requires a bow,S-OBJECT,bow,1,7
artichoke,Vegetables,is eaten,S-ACTION,eaten,1,11
artichoke,Vegetables,is green,E-EXSURF,green,1,12
artichoke,Vegetables,a vegetable,T-SUPER,vegetable,1,8
artichoke,Vegetables,tastes good,I-EVAL,good,1,7
ashtray,Objects,is decorative,E-SYS,decorative,1,8
ashtray,Objects,used for putting cigarettes,S-FUNC,cigarettes,1,21
ashtray,Objects,used for throwing ashes,S-FUNC,throw,1,18
ashtray,Objects,made of glass,E-MAT,glass,1,9
ashtray,Objects,made of wood,E-MAT,wood,1,7
ashtray,Objects,has an unpleasant smell,I-EVAL,unpleasant,1,5
asparagus,Vegetables,is eaten,S-ACTION,eaten,1,12
asparagus,Vegetables,is green,E-EXSURF,green,1,9
asparagus,Vegetables,is long,E-QUANT,long,1,6
asparagus,Vegetables,a vegetable,T-SUPER,vegetable,1,17
asparagus,Vegetables,tastes good,I-EVAL,good,1,6
asparagus,Vegetables,I like it,I-EVAL,like,1,NA
avocado,Fruits,is creamy,E-EXSURF,creamy,1,6
avocado,Fruits,is eaten,S-ACTION,eaten,1,6
avocado,Fruits,a fruit,T-SUPER,fruit,1,21
avocado,Fruits,is green,E-EXSURF,green,1,16
avocado,Fruits,used for making salad,S-ACTION,salad,1,10
avocado,Fruits,tastes good,I-EVAL,good,1,9
avocado,Fruits,has a pit,E-INCOMP,pit,1,5
axe,Tools,a tool,T-SUPER,tool,1,13
axe,Tools,used for cutting,S-FUNC,cutting,1,25
axe,Tools,used for chopping down,S-FUNC,chopping down,2,10
axe,Tools,made of metal,E-MAT,metal,1,6
ball,Objects,used by children,S-PERSON,children,1,5
ball,Objects,football,S-EVENT,football,1,15
ball,Objects,game,S-SOCART,game,1,10
ball,Objects,is round,E-EXSURF,round,1,8
ball,Objects,made of rubber,E-MAT,rubber,1,5
balloon,Toys,is blown,S-ACTION,blown,1,11
balloon,Toys,children,S-PERSON,children,1,6
balloon,Toys,explodes,E-BEH,explodes,1,5
balloon,Toys,game,S-SOCART,game,1,9
balloon,Toys,ornament,T-SUPER,ornament,1,8
balloon,Toys,bithdays,S-EVENT,bithdays,1,NA
balloon,Toys,different colors,E-EXSURF,colors,1,15
balloon,Toys,has air,E-INCOMP,air,1,8
balloon,Toys,found in parties,S-EVENT,parties,1,22
banana,Fruits,eg - Brazil,T-SUBORD,Brazil,1,NA
banana,Fruits,a dessert,T-SUPER,dessert,1,5
banana,Fruits,a foodstuff,T-SUPER,foodstuff,1,9
banana,Fruits,a fruit,T-SUPER,fruit,1,16
banana,Fruits,is sweet,E-INSURF,sweet,1,5
banana,Fruits,used for making smoothies,S-ACTION,smoothies,1,10
banana,Fruits,is yellow,E-EXSURF,yellow,1,13
banana,Fruits,has potasium,E-INCOMP,potasium,1,12
banana,Fruits,has skin,E-EXCOMP,skin,1,6
banana,Fruits,tastes good,I-EVAL,good,1,11
banana,Fruits,eaten by monkeys,S-ACTION,monkeys,1,6
barn,Constructions,used for storing food,S-FUNC,storing,1,5
barn,Constructions,used for storing grain,S-FUNC,storing,1,9
barn,Constructions,where farm animals are located,S-FUNC,farm animals,2,13
barn,Constructions,where farm animals are located,S-FUNC,farm animals,2,7
barn,Constructions,made of wood,E-MAT,wood,1,5
barn,Constructions,found in the field,S-LOC,field,1,15
barrel,Containers,beer,S-OBJECT,beer,1,17
barrel,Containers,wine,S-OBJECT,wine,1,24
barrel,Containers,made of wood,E-MAT,wood,1,17
barrel,Containers,found in the cellar,S-LOC,cellar,1,6
baseball bat,Objects,ball,S-OBJECT,ball,1,8
baseball bat,Objects,game,S-SOCART,game,1,8
baseball bat,Objects,a stick,S-OBJECT,stick,1,10
baseball bat,Objects,used for hitting,S-FUNC,hitting,1,6
baseball bat,Objects,used for playing baseball,S-FUNC,playing,1,14
baseball bat,Objects,used for playing sports,S-FUNC,playing,1,9
baseball bat,Objects,made of wood,E-MAT,wood,1,12
baseball glove,Objects,ball,S-OBJECT,ball,1,7
baseball glove,Objects,used for catching,S-FUNC,catching,1,5
baseball glove,Objects,used for playing,S-FUNC,playing,1,11
baseball glove,Objects,used for playing sports,S-FUNC,playing,1,14
baseball glove,Objects,used for protecting,S-FUNC,protecting,1,13
baseball glove,Objects,worn on the hand,S-LOC,hand,1,6
baseball glove,Objects,made of leather,E-MAT,leather,1,15
basin,House parts,hygiene,I-REP,hygiene,1,6
basin,House parts,soap,S-OBJECT,soap,1,5
basin,House parts,used for bathing,S-FUNC,bathing,1,10
basin,House parts,used for relaxing,S-FUNC,relaxing,1,6
basin,House parts,contains water,S-OBJECT,water,1,8
basin,House parts,found in the bathroom,S-LOC,bathroom,1,15
basket,Containers,bread,S-FUNC,bread,1,7
basket,Containers,fruit,S-LIVING,fruit,1,8
basket,Containers,picnic,S-EVENT,picnic,1,5
basket,Containers,used for storing things,S-FUNC,storing,1,6
basket,Containers,is useful,I-EVAL,useful,1,8
basket,Containers,made of wicker,E-MAT,wicker,1,11
bat,Animals,an animal,T-SUPER,animal,1,9
bat,Animals,is bind,E-SYS,bind,1,7
bat,Animals,is black,E-EXSURF,black,1,7
bat,Animals,a bug,T-SUPER,bug,1,5
bat,Animals,flies,E-BEH,flies,1,10
bat,Animals,night,E-BEH,night,1,16
bat,Animals,is ugly,I-EVAL,ugly,1,17
beach shovel,Toys,broom,S-OBJECT,broom,1,6
beach shovel,Toys,used for cleaning,S-FUNC,cleaning,1,5
beach shovel,Toys,used for collecting garbage,S-FUNC,garbage,1,16
beach shovel,Toys,the beach,S-LOC,beach,1,NA
beach shovel,Toys,made of plastic,E-MAT,plastic,1,9
bear,Animals,is agressive,E-SYS,aggressive,1,11
bear,Animals,an animal,T-SUPER,animal,1,13
bear,Animals,is big,E-QUANT,big,1,15
bear,Animals,is grizzly,E-EXSURF,grizzly,1,5
bear,Animals,is white,E-EXSURF,white,1,7
bear,Animals,has hair,E-EXCOMP,hair,1,9
bear,Animals,eg - Teddy bear,T-SUBORD,Teddy bear,2,NA
bed,Furniture,used for resting,S-FUNC,resting,1,16
bed,Furniture,used for sleeping,S-FUNC,sleeping,1,7
bee,Animals,bites,E-BEH,bites,1,17
bee,Animals,drone,T-SUBORD,drone,1,5
bee,Animals,flies,E-BEH,flies,1,5
bee,Animals,is hardworking,E-SYS,hardworking,1,5
bee,Animals,an insect,T-SUPER,insect,1,8
bee,Animals,queen,T-SUBORD,queen,1,9
bee,Animals,makes honey,E-BEH,honey,1,30
bee,Animals,lives in the beehive,S-LOC,beehive,1,10
bee,Animals,lives in the hive,S-LOC,hive,1,12
beetle,Animals,an animal,T-SUPER,animal,1,5
beetle,Animals,is black,E-EXSURF,black,1,11
beetle,Animals,a bug,T-SUPER,bug,1,5
beetle,Animals,an insect,T-SUPER,insect,1,11
beetle,Animals,is small,E-QUANT,small,1,9
beetle,Animals,is ugly,I-EVAL,ugly,1,5
bell,Objects,alarm,S-FUNC,alarm,1,5
bell,Objects,is noisy,E-SYS,noisy,1,8
bell,Objects,rings,E-BEH,rings,1,8
bell,Objects,sound,S-FUNC,sound,1,7
bell,Objects,used for calling,S-ACTION,calling,1,7
bell,Objects,made of bronze,E-MAT,bronze,1,9
bell,Objects,made of metal,E-MAT,metal,1,5
bell,Objects,found in the church,S-LOC,church,1,20
bell,Objects,found in the school,S-LOC,school,1,13
belt,Clothing,used for fastenning,S-FUNC,fastenning,1,12
belt,Clothing,used to hold,S-FUNC,hold,1,11
belt,Clothing,worn on pants,S-LOC,pants,1,12
belt,Clothing,different colors,E-EXSURF,colors,1,5
belt,Clothing,has a buckle,E-EXCOMP,buckle,1,14
belt,Clothing,made of leather,E-MAT,leather,1,18
bench,Furniture,is comfortable,I-EVAL,comfortable,1,5
bench,Furniture,rest,S-FUNC,rest,1,10
bench,Furniture,used for resting,S-FUNC,resting,1,7
bench,Furniture,used for sitting,S-FUNC,sitting,1,5
bench,Furniture,made of wood,E-MAT,wood,1,13
bench,Furniture,found in the school,S-LOC,school,1,5
bench,Furniture,found in the square,S-LOC,square,1,23
bicycle,Vehicles,exercise,S-FUNC,exercise,1,12
bicycle,Vehicles,race,S-FUNC,race,1,12
bicycle,Vehicles,sport,S-FUNC,sport,1,5
bicycle,Vehicles,used for riding,S-FUNC,riding,1,14
bicycle,Vehicles,has brakes,E-EXCOMP,brakes,1,7
bicycle,Vehicles,has wheels,E-EXCOMP,wheels,1,16
bicycle,Vehicles,a mean of transportation,T-SUPER,transportation,1,10
binoculars,Tools,distance,S-SOCART,distance,1,6
binoculars,Tools,used for watching far,S-FUNC,watching,1,13
binoculars,Tools,used to see,S-FUNC,see,1,21
binoculars,Tools,has magnification,E-SYS,magnification,1,8
bird,Animals,an animal,T-SUPER,animal,1,7
bird,Animals,a bird,T-SUPER,bird,1,9
bird,Animals,flies,E-BEH,flies,1,19
bird,Animals,freedom,E-ABSTR,freedom,1,8
bird,Animals,nest,S-OBJECT,nest,1,6
bird,Animals,sings,E-BEH,sings,1,13
bird,Animals,different colors,E-EXSURF,colors,1,11
bird,Animals,has feathers,E-EXCOMP,feathers,1,9
bird,Animals,has wings,E-EXCOMP,wings,1,11
bird,Animals,lays eggs,E-BEH,eggs,1,5
bird,Animals,has a beak,E-EXCOMP,beak,1,7
bird house,Constructions,birds,S-LIVING,birds,1,5
bird house,Constructions,nest,S-OBJECT,nest,1,13
bird house,Constructions,baker bird,S-OBJECT,baker bird,2,9
bird house,Constructions,found in the tree,S-LOC,tree,1,8
bird nest,Constructions,a home,T-SUPER,home,1,5
bird nest,Constructions,where birds live,S-LIVING,birds,1,8
bird nest,Constructions,has eggs,S-LIVING,eggs,1,7
bird nest,Constructions,has feathers,E-EXCOMP,feathers,1,5
bird nest,Constructions,made of mud,E-MAT,mud,1,6
bird nest,Constructions,made of straw,E-MAT,straw,1,10
blackboard,Utensils,is black,E-EXSURF,black,1,11
blackboard,Utensils,eraser,S-OBJECT,eraser,1,5
blackboard,Utensils,is green,E-EXSURF,green,1,7
blackboard,Utensils,used for drawing,S-FUNC,drawing,1,5
blackboard,Utensils,used for teaching,S-FUNC,teaching,1,8
blackboard,Utensils,used for writing,S-FUNC,writing,1,20
blackboard,Utensils,used with chalk,S-OBJECT,chalk,1,14
blackboard,Utensils,found in the school,S-BUILD,school,1,17
blimp,Vehicles,air,S-LOC,air,1,14
blimp,Vehicles,is big,E-QUANT,big,1,7
blimp,Vehicles,used for flying,S-FUNC,flying,1,12
blimp,Vehicles,war,S-EVENT,war,1,5
blimp,Vehicles,contains gas,E-INCOMP,gas stove,2,5
blimp,Vehicles,hot-air balloon,S-OBJECT,hot-air balloon,2,7
blimp,Vehicles,a mean of transportation,T-SUPER,transportation,1,7
blouse,Clothing,clothing,T-SUPER,clothing,1,16
blouse,Clothing,used by women,S-PERSON,women,1,16
blouse,Clothing,different colors,E-EXSURF,colors,1,5
blouse,Clothing,has buttons,E-EXCOMP,buttons,1,7
blouse,Clothing,made of silk,E-MAT,silk,1,7
blowfish,Animals,an animal,T-SUPER,animal,1,6
blowfish,Animals,is poisonous,E-SYS,poisonous,1,5
blowfish,Animals,lives in the sea,S-LOC,sea,1,10
blowfish,Animals,lives in the water,S-LOC,water,1,11
book,Objects,used for reading,S-FUNC,reading,1,13
book,Objects,used for studying,S-FUNC,studying,1,8
book,Objects,has a cover,E-EXCOMP,cover,1,7
book,Objects,has a leaf,E-EXCOMP,leaf,1,11
book,Objects,found in the library,S-LOC,library,1,11
boot,Clothing,is comfortable,I-EVAL,comfortable,1,6
boot,Clothing,is footwear,T-SUPER,footwear,1,8
boot,Clothing,used for cold,S-FUNC,cold,1,5
boot,Clothing,used for the rain,S-FUNC,rain,1,5
boot,Clothing,made of leather,E-MAT,leather,1,10
boot,Clothing,made of rubber,E-MAT,rubber,1,5
bottle,Containers,a container,T-SUPER,container,1,7
bottle,Containers,drinks,S-OBJECT,drinks,1,5
bottle,Containers,eg - glass,E-MAT,glass,1,12
bottle,Containers,used for keeping fluids,S-FUNC,fluids,1,11
bottle,Containers,wine,S-OBJECT,wine,1,5
bottle,Containers,made of plastic,E-MAT,plastic,1,7
bow,Accessories,an ornament,T-SUPER,ornament,1,8
bow,Accessories,worn at parties,S-EVENT,parties,1,5
bow,Accessories,different colors,E-EXSURF,colors,1,6
bow,Accessories,used for tying hair,S-FUNC,tying hair,2,9
bow,Accessories,made of ribbon,E-MAT,ribbon,1,5
bow,Accessories,part of a suit,E-WHOLE,suit,1,6
bowl,Utensils,a container,T-SUPER,container,1,5
bowl,Utensils,food,S-OBJECT,food,1,6
bowl,Utensils,salad,S-OBJECT,salad,1,18
bowl,Utensils,used for mixing,S-FUNC,mixing,1,10
bowl,Utensils,different colors,E-EXSURF,colors,1,7
bowl,Utensils,made of plastic,E-MAT,plastic,1,9
bowl,Utensils,found in the kitchen,S-LOC,kitchen,1,9
box,Containers,shoe,S-OBJECT,shoe,1,6
box,Containers,is square,E-EXSURF,square,1,5
box,Containers,eg - strong,T-SUBORD,strong,1,6
box,Containers,used for storing things,S-FUNC,storing,1,14
box,Containers,made of cardboard,E-MAT,cardboard,1,18
box,Containers,made of wood,E-MAT,wood,1,15
brain,Body parts,a part of the body,E-WHOLE,body,1,5
brain,Body parts,is important,I-EVAL,important,1,5
brain,Body parts,an organ,T-SUPER,organ,1,8
brain,Body parts,used to think,S-FUNC,think,1,11
brain,Body parts,is in the head,S-LOC,head,1,9
bread,Food,food,S-OBJECT,food,1,8
bread,Food,a foodstuff,T-SUPER,foodstuff,1,12
bread,Food,used for sandwich,S-ACTION,sandwich,1,9
bread,Food,wheat,E-INCOMP,wheat,1,5
bread,Food,eg - white,T-SUBORD,white,1,5
bread,Food,has flour,E-INCOMP,flour,1,14
bread,Food,is in bakeries,S-BUILD,bakeries,1,7
bread,Food,tastes good,I-EVAL,good,1,7
broom,Tools,used for cleaning,S-FUNC,cleaning,1,17
broom,Tools,used for sweeping,S-FUNC,sweeping,1,17
broom,Tools,witch,S-PERSON,witch,1,7
broom,Tools,has a stick,E-EXCOMP,stick,1,14
broom,Tools,made of plastic,E-MAT,plastic,1,5
broom,Tools,made of straw,E-MAT,straw,1,16
brush,Utensils,used for cleaning,S-FUNC,cleaning,1,19
brush,Utensils,used for washing clothes,S-FUNC,washing,1,8
brush,Utensils,has bristles,E-EXCOMP,bristles,1,6
brush,Utensils,used for combing hair,S-FUNC,combing,1,9
brush,Utensils,made of plastic,E-MAT,plastic,1,5
brush,Utensils,used for cleaning your teeth,S-FUNC,cleaning,1,14
buffalo,Animals,an animal,T-SUPER,animal,1,26
buffalo,Animals,is big,E-QUANT,big,1,12
buffalo,Animals,is dangerous,I-EVAL,dangerous,1,5
buffalo,Animals,a mammal,T-SUPER,mammal,1,5
buffalo,Animals,is wild,E-SYS,wild,1,5
buffalo,Animals,has horns,E-EXCOMP,horns,1,7
bus,Vehicles,is big,E-QUANT,big,1,5
bus,Vehicles,driver,S-LIVING,driver,1,6
bus,Vehicles,is old,E-SYS,old,1,5
bus,Vehicles,used by passengers,S-PERSON,passengers,1,11
bus,Vehicles,used for traveling,S-FUNC,traveling,1,8
bus,Vehicles,has seats,E-INCOMP,seats,1,7
bus,Vehicles,eg - interurban bus,T-SUBORD,interurban bus,2,5
bus,Vehicles,a mean of transportation,T-SUPER,transportation,1,13
butterfly,Animals,is colorful,E-EXSURF,colorful,1,23
butterfly,Animals,flies,E-BEH,flies,1,12
butterfly,Animals,an insect,T-SUPER,insect,1,12
butterfly,Animals,nectar,S-OBJECT,nectar,1,5
butterfly,Animals,is nice,I-EVAL,nice,1,15
butterfly,Animals,spring,S-TIME,spring,1,10
butterfly,Animals,has wings,E-EXCOMP,wings,1,10
butterfly,Animals,perches on flowers,E-BEH,perches,1,10
button,Accessories,an ornament,T-SUPER,ornament,1,5
button,Accessories,is sewed,S-ACTION,sewed,1,5
button,Accessories,is small,E-QUANT,small,1,5
button,Accessories,is useful,I-EVAL,useful,1,7
button,Accessories,different colors,E-EXSURF,colors,1,10
button,Accessories,different shapes,E-EXSURF,shapes,1,5
button,Accessories,has holes,E-EXSURF,holes,1,10
button,Accessories,used for buttoning up,S-FUNC,buttoning up,2,16
button,Accessories,found on clothing,S-LOC,clothing,1,13
button,Accessories,made of plastic,E-MAT,plastic,1,5
button,Accessories,made of wood,E-MAT,wood,1,5
button,Accessories,found in the coat,S-LOC,coat,1,5
button,Accessories,found next to the buttonhole,S-LOC,buttonhole,1,7
cactus,Plants,a plant,T-SUPER,plant,1,15
cactus,Plants,is prickly,E-SYS,prickly,1,6
cactus,Plants,has flowers,E-EXCOMP,flowers,1,12
cactus,Plants,has thorns,E-EXCOMP,thorns,1,23
cactus,Plants,has water inside,E-INCOMP,water,1,5
cactus,Plants,found in the desert,S-LOC,desert,1,9
cady,Containers,food,S-OBJECT,food,1,6
cady,Containers,goods,S-OBJECT,goods,1,5
cady,Containers,supermarket,T-SUBORD,supermarket,1,14
cady,Containers,used for shopping,S-FUNC,shopping,1,7
cady,Containers,has a handle,E-EXCOMP,handle,1,6
cady,Containers,made of fabric,E-MAT,fabric,1,5
cady,Containers,made of nylon,E-MAT,nylon,1,5
cady,Containers,made of plastic,E-MAT,plastic,1,7
cage,Constructions,animals,S-LIVING,animals,1,7
cage,Constructions,birds,S-LIVING,birds,1,14
cage,Constructions,used to enclose,S-FUNC,enclose,1,16
cage,Constructions,made of metal,E-MAT,metal,1,5
cake,Food,celebration,S-EVENT,celebration,1,7
cake,Food,is eaten,S-ACTION,eaten,1,5
cake,Food,is sweet,E-INSURF,sweet,1,13
cake,Food,birthdays,S-EVENT,birthdays,1,NA
cake,Food,has chocolate,E-EXCOMP,chocolate,1,5
cake,Food,has cream,E-EXCOMP,cream,1,6
cake,Food,tastes good,I-EVAL,good,1,7
cake,Food,found in weddings,S-EVENT,weddings,1,5
cake,Food,has caramel milk,E-INCOMP,caramel milk,2,7
calipers,Tools,a tool,T-SUPER,tool,1,5
calipers,Tools,used for measuring,S-FUNC,measuring,1,12
camel,Animals,an animal,T-SUPER,animal,1,12
camel,Animals,a quadruped,T-SUPER,quadruped,1,9
camel,Animals,is tall,E-QUANT,tall,1,5
camel,Animals,used for transportation,S-ACTION,transportation,1,5
camel,Animals,has hair,E-EXCOMP,hair,1,6
camel,Animals,has a heap,E-EXCOMP,heap,1,21
camel,Animals,lives in the desert,S-LOC,desert,1,16
camera,Devices,moments,I-REP,moments,1,6
camera,Devices,used to capture images,S-FUNC,images,1,6
camera,Devices,used to keep riminders away,S-FUNC,reminders,1,14
camera,Devices,eg - digital camera,T-SUBORD,digital camera,2,9
camera,Devices,used for celebrating birthdays,S-FUNC,celebrating,1,5
camera,Devices,eg - film roll camera,T-SUBORD,film roll camera,3,5
can,Containers,a container,T-SUPER,container,1,5
can,Containers,food,S-OBJECT,food,1,7
can,Containers,used for storing,S-FUNC,storing,1,6
can,Containers,contains food,T-SUPER,food,1,5
can,Containers,sheet metal,E-MAT,sheet metal,2,6
candle,Objects,fire,S-OBJECT,fire,1,7
candle,Objects,light,S-FUNC,light,1,16
candle,Objects,used for praying,S-FUNC,praying,1,5
candle,Objects,used for lighting up,S-FUNC,lighting up,2,13
candle,Objects,used on birthday cakes,S-EVENT,birthday cakes,2,7
candle,Objects,made of wax,E-MAT,wax,1,8
cannon,Weapons,death,S-SOCART,death,1,6
cannon,Weapons,destruction,S-FUNC,destruction,1,7
cannon,Weapons,war,S-EVENT,war,1,NA
cannon,Weapons,a weapon,T-SUPER,weapon,1,7
cap,Clothing,used by the Basques,S-PERSON,Basques,1,NA
cap,Clothing,is a cap,T-SUPER,cap,1,16
cap,Clothing,made of fabric,E-MAT,fabric,1,5
cap,Clothing,made of wool,E-MAT,wool,1,5
cap,Clothing,used for covering of the cold,S-FUNC,cold,1,8
car,Vehicles,is comfortable,I-EVAL,comfortable,1,6
car,Vehicles,is fast,E-SYS,fast,1,6
car,Vehicles,used for riding,S-FUNC,riding,1,7
car,Vehicles,used for traveling,S-FUNC,traveling,1,8
car,Vehicles,has wheels,E-EXCOMP,wheels,1,12
car,Vehicles,has an engine,E-INCOMP,engine,1,6
car,Vehicles,a mean of transportation,T-SUPER,transportation,1,12
carrot,Vegetables,is eaten,S-ACTION,eaten,1,16
carrot,Vegetables,is grated,S-ACTION,grated,1,6
carrot,Vegetables,is orange,E-EXSURF,orange,1,16
carrot,Vegetables,raw,E-INSURF,raw,1,5
carrot,Vegetables,stew,E-WHOLE,stew,1,5
carrot,Vegetables,a tuber,T-SUPER,tuber,1,5
carrot,Vegetables,used for making salad,S-ACTION,salad,1,18
carrot,Vegetables,a vegetable,T-SUPER,vegetable,1,15
carrot,Vegetables,a vegetable,T-SUPER,vegetable,1,5
carrot,Vegetables,has vitamins,E-INCOMP,vitamins,1,5
carrot,Vegetables,eaten by rabbits,S-LIVING,rabits,1,9
cat,Animals,an animal,T-SUPER,animal,1,7
cat,Animals,is cuddly,E-SYS,cuddly,1,11
cat,Animals,a feline,T-SUPER,feline,1,8
cat,Animals,I don't like it,I-EVAL,like,1,NA
celery,Vegetables,is green,E-EXSURF,green,1,14
celery,Vegetables,a plant,T-SUPER,plant,1,7
celery,Vegetables,a spice,T-SUPER,spice,1,5
celery,Vegetables,used for flavouring,S-FUNC,flavouring,1,5
celery,Vegetables,used for making salad,S-ACTION,salad,1,8
celery,Vegetables,a vegetable,T-SUPER,vegetable,1,13
celery,Vegetables,a vegetable,T-SUPER,vegetable,1,5
celery,Vegetables,has a leaf,E-EXCOMP,leaf,1,7
centipede,Animals,an animal,T-SUPER,animal,1,8
centipede,Animals,a bug,T-SUPER,bug,1,8
centipede,Animals,an insect,T-SUPER,insect,1,10
centipede,Animals,is long,E-QUANT,long,1,10
centipede,Animals,is small,E-QUANT,small,1,8
centipede,Animals,has legs,E-EXCOMP,legs,1,10
chain,Tools,eg - bicycle,T-SUBORD,bicycle,1,5
chain,Tools,an ornament,T-SUPER,ornament,1,5
chain,Tools,safety,S-SOCART,safety,1,5
chain,Tools,used for joining,S-FUNC,joining,1,5
chain,Tools,used for tying,S-FUNC,tying,1,10
chain,Tools,has links,E-EXCOMP,links,1,12
chain,Tools,made of gold,E-MAT,gold,1,8
chain,Tools,made of iron,E-MAT,iron,1,7
chain,Tools,made of metal,E-MAT,metal,1,6
chain,Tools,made of silver,E-MAT,silver,1,7
chair,Furniture,is comfortable,I-EVAL,comfortable,1,11
chair,Furniture,seat,T-COORD,seat,1,6
chair,Furniture,table,S-OBJECT,table,1,8
chair,Furniture,used for resting,S-FUNC,resting,1,6
chair,Furniture,used for sitting,S-FUNC,sitting,1,12
chair,Furniture,made of metal,E-MAT,metal,1,5
chair,Furniture,made of wood,E-MAT,wood,1,13
cheese,Food,is creamy,E-EXSURF,creamy,1,6
cheese,Food,a foodstuff,T-SUPER,foodstuff,1,8
cheese,Food,different foods,S-ACTION,foodstuff,1,NA
cheese,Food,tastes good,I-EVAL,good,1,10
cheese,Food,can be grated,S-ACTION,grated,1,11
cheese,Food,made of milk,E-MAT,milk,1,10
cheese,Food,a product of the cow,S-LIVING,cow,1,5
cherry,Fruits,a fruit,T-SUPER,fruit,1,21
cherry,Fruits,is red,E-EXSURF,red,1,21
cherry,Fruits,is small,E-QUANT,small,1,10
cherry,Fruits,is sweet,E-INSURF,sweet,1,18
cherry,Fruits,used for desserts,S-ACTION,desserts,1,6
cherry,Fruits,tastes good,I-EVAL,good,1,15
cherry,Fruits,has a pit,E-INCOMP,pit,1,8
chest,Furniture,used for storing clothes,S-FUNC,storing,1,5
chest,Furniture,used for storing things,S-FUNC,storing,1,15
chest,Furniture,used to keep riminders away,S-FUNC,reminders,1,13
chest,Furniture,made of wood,E-MAT,wood,1,13
chest,Furniture,found in the car,S-LOC,car,1,9
