cue,response,humanA1,humanA2,humanB1,humanB2,frequency,model1,model2
bomb,atom,T,T-sub,T,T-sub,2,E,E-comp
bomb,blast,E,E-beh,E,E-beh,2,S,S-action
bomb,explode,E,E-beh,E,E-beh,7,E,E-beh
bomb,explosion,E,E-beh,E,E-beh,8,E,E-beh
bone,broken,S,S-targetstate,S,S-targetstate,2,E,E-state
bone,dog,S,S-agent,S,S-agent,6,S,S-obj
box,cardboard,E,E-comp,T,T-sub,9,E,E-comp
box,carton,E,E-comp,T,T-coord,2,T,T-syn
box,cutter,S,S-obj,S,S-obj,2,S,S-obj
boxing,gloves,S,S-obj,S,S-obj,10,S,S-obj
boyfriend,gay,S,S-targetstate,S,S-targetstate,1,E,E-prop
boyfriend,girlfriend,T,T-ant,T,T-ant,15,T,T-coord
boyfriend,love,I,I-emo,I,I-emo,7,I,I-emo
boyfriend,lover,T,T-coord,E,E-prop,4,T,T-syn
boyfriend,partner,T,T-super,E,E-comp,4,T,T-syn
bra,strap,E,E-comp,E,E-comp,5,E,E-comp
brand,jeans,S,S-context,S,S-context,1,S,S-obj
bread,loaf,E,E-whole,E,E-whole,3,T,T-syn
bread,wheat,E,E-comp,E,E-prop,9,E,E-comp
breakfast,cereal,T,T-sub,T,T-sub,5,S,S-obj
breakfast,eggs,T,T-sub,S,S-obj,9,S,S-obj
breakfast,food,S,S-obj,S,S-obj,8,T,T-super
bride,groom,T,T-ant,T,T-ant,14,T,T-coord
bride,marriage,S,S-time,S,S-time,5,S,S-function
bride,white,E,E-prop,E,E-prop,11,E,E-prop
bride,wife,E,E-prop,E,E-prop,5,T,T-syn
brother,friend,I,I-eval,T,T-syn,3,T,T-coord
brother,kin,T,T-super,T,T-sub,1,T,T-coord
brother,mother,T,T-coord,T,T-coord,7,T,T-coord
brother,sibling,T,T-super,T,T-super,9,T,T-syn
brother,sister,T,T-ant,T,T-ant,21,T,T-coord
bullet,gun,E,E-whole,E,E-whole,24,E,E-whole
bullet,wound,S,S-context,S,S-context,3,E,E-beh
businessman,money,S,S-obj,S,S-obj,8,S,S-function
businessman,suit,E,E-comp,E,E-comp,13,E,E-comp
butter,bread,S,S-obj,S,S-obj,11,S,S-obj
butter,fat,E,E-comp,E,E-comp,6,E,E-comp
butter,margarine,T,T-sub,T,T-syn,5,T,T-syn
cake,chocolate,E,E-comp,T,T-sub,7,E,E-comp
cake,eat,S,S-action,S,S-action,4,S,S-action
cake,icing,E,E-comp,E,E-comp,6,E,E-comp
cancer,breast,T,T-sub,T,T-sub,2,S,S-loc
cancer,sick,S,S-context,E,E-state,4,E,E-state
candle,flame,E,E-comp,E,E-comp,14,E,E-comp
candle,light,S,S-function,S,S-function,19,E,E-beh
capital,building,S,S-action,S,S-obj,2,S,S-loc
capital,money,E,E-comp,E,E-comp,9,T,T-syn
capital,state,E,E-whole,E,E-whole,3,T,T-super
capitalism,America,S,S-loc,I,I-contin,5,S,S-loc
capitalism,economy,E,E-whole,E,E-whole,2,T,T-super
capitalism,Marx,I,I-contin,I,I-contin,2,I,I-contin
carrot,juice,E,E-comp,E,E-comp,2,E,E-comp
carrot,rabbit,S,S-agent,S,S-agent,9,S,S-obj
castle,fort,T,T-coord,T,T-sub,3,T,T-coord
castle,king,S,S-agent,S,S-agent,6,S,S-agent
castle,medieval,E,E-prop,E,E-prop,4,S,S-time
castle,stone,E,E-comp,E,E-comp,8,E,E-comp
cat,dog,T,T-coord,T,T-coord,20,T,T-coord
cat,mouse,T,T-coord,T,T-coord,4,S,S-obj
ceiling,top,T,T-syn,E,E-state,7,T,T-syn
cell,biology,E,E-whole,E,E-whole,7,T,T-super
cell,wall,E,E-comp,E,E-comp,3,E,E-comp
challenge,accepted,S,S-action,S,S-action,3,S,S-action
challenge,difficult,I,I-eval,I,I-eval,6,I,I-eval
challenge,hard,I,I-eval,I,I-eval,8,I,I-eval
challenge,task,T,T-super,S,S-obj,3,T,T-syn
challenge,win,S,S-action,S,S-action,2,S,S-action
champagne,bubbles,T,T-syn,E,E-prop,8,E,E-comp
champagne,bubbly,E,E-prop,E,E-prop,8,E,E-prop
champagne,glass,S,S-obj,S,S-obj,5,S,S-obj
champion,best,E,E-prop,E,E-prop,5,T,T-syn
champion,hero,T,T-super,T,T-syn,1,T,T-syn
champion,win,S,S-action,S,S-action,1,S,S-function
chemistry,biology,T,T-coord,T,T-coord,5,T,T-coord
chemistry,chemicals,S,S-obj,S,S-obj,5,E,E-comp
chemistry,lab,S,S-loc,S,S-loc,4,S,S-loc
chemistry,physics,T,T-coord,T,T-coord,4,T,T-coord
cherry,picker,S,S-agent,S,S-obj,2,S,S-function
cherry,tree,E,E-comp,E,E-comp,6,E,E-whole
childhood,friends,S,S-agent,S,S-agent,2,S,S-agent
childhood,fun,I,I-eval,I,I-eval,4,I,I-eval
childhood,memories,S,S-obj,S,S-time,5,E,E-prop
childhood,youth,I,I-contin,I,I-contin,4,T,T-syn
chimney,brick,E,E-comp,E,E-comp,5,E,E-comp
chimney,fire,S,S-obj,S,S-obj,11,E,E-comp
chimney,smoke,S,S-obj,S,S-obj,13,S,S-obj
chin,cleft,E,E-comp,E,E-comp,3,E,E-comp
chin,double,S,S-targetstate,S,S-targetstate,4,E,E-prop
chocolate,brown,E,E-prop,E,E-prop,9,E,E-prop
cigar,cigarette,T,T-coord,T,T-coord,8,T,T-coord
cigar,Cuba,T,T-sub,T,T-sub,3,S,S-loc
cigar,Cuban,T,T-sub,T,T-sub,5,E,E-prop
cigar,smoke,S,S-obj,S,S-obj,21,S,S-action
cigarette,smoke,S,S-action,E,E-beh,22,S,S-action
cinema,film,S,S-obj,S,S-obj,11,S,S-obj
cinema,movie,S,S-obj,S,S-obj,19,S,S-obj
cinema,movies,T,T-syn,S,S-obj,5,S,S-obj
cinema,theater,T,T-syn,T,T-syn,11,T,T-syn
city,state,E,E-whole,E,E-whole,3,T,T-super
city,urban,E,E-prop,E,E-prop,5,T,T-syn
cliff,edge,E,E-comp,E,E-comp,6,E,E-comp
cliff,fall,S,S-action,S,S-action,8,S,S-action
cliff,mountain,E,E-whole,E,E-whole,4,T,T-coord
cloud,fluffy,E,E-prop,E,E-prop,7,E,E-prop
cloud,rain,S,S-obj,S,S-obj,12,E,E-beh
cloud,sky,S,S-loc,S,S-loc,16,S,S-loc
cloud,white,E,E-prop,E,E-prop,9,E,E-prop
clown,funny,I,I-eval,I,I-eval,6,I,I-eval
clown,makeup,E,E-comp,E,E-comp,5,E,E-comp
clown,nose,E,E-comp,E,E-comp,5,E,E-comp
coach,bus,T,T-syn,T,T-syn,6,T,T-syn
coach,football,S,S-time,S,S-time,5,S,S-function
coach,purse,T,T-super,S,S-context,2,T,T-coord
coach,teacher,T,T-coord,E,E-prop,4,T,T-syn
coach,team,S,S-agent,S,S-obj,9,S,S-agent
coconut,milk,E,E-comp,E,E-comp,14,E,E-comp
coconut,oil,E,E-comp,E,E-comp,4,E,E-comp
coconut,palm,E,E-whole,E,E-whole,5,E,E-whole
coconut,tree,E,E-whole,E,E-whole,8,T,T-super
coffin,box,T,T-super,E,E-comp,4,T,T-syn
coffin,death,S,S-context,S,S-context,14,S,S-obj
colony,bacteria,E,E-comp,T,T-sub,2,T,T-sub
comedy,fun,I,I-eval,E,E-prop,4,I,I-eval
comedy,funny,I,I-eval,E,E-prop,16,I,I-eval
comedy,humor,E,E-prop,E,E-prop,2,T,T-syn
comment,opinion,T,T-coord,T,T-coord,10,T,T-syn
comment,remark,T,T-coord,T,T-syn,2,T,T-syn
comment,say,S,S-action,S,S-action,7,T,T-syn
comment,speak,S,S-action,S,S-action,5,S,S-action
comment,word,E,E-comp,S,S-obj,2,E,E-comp
community,church,T,T-sub,S,S-loc,2,S,S-loc
community,group,T,T-super,E,E-comp,7,T,T-syn
community,neighborhood,T,T-sub,T,T-sub,5,T,T-syn
community,people,E,E-comp,E,E-whole,8,T,T-syn
community,town,T,T-sub,T,T-super,4,T,T-syn
company,friend,T,T-syn,S,S-agent,3,T,T-ant
company,friends,T,T-syn,S,S-agent,9,T,T-ant
competitor,athlete,T,T-sub,T,T-sub,3,T,T-super
competitor,business,T,T-sub,T,T-sub,4,S,S-agent
competitor,competition,S,S-time,E,E-whole,6,T,T-super
computer,PC,T,T-sub,T,T-sub,2,T,T-syn
computer,screen,S,S-obj,E,E-comp,4,E,E-comp
concert,music,E,E-prop,E,E-comp,21,S,S-obj
concert,orchestra,S,S-agent,S,S-obj,3,S,S-agent
concert,symphony,S,S-targetstate,S,S-targetstate,2,S,S-obj
conclusion,done,S,S-targetstate,E,E-prop,3,T,T-syn
control,power,E,E-prop,E,E-prop,8,T,T-syn
core,abs,T,T-syn,S,S-obj,1,T,T-syn
core,apple,E,E-whole,E,E-whole,19,E,E-whole
core,center,T,T-syn,E,E-prop,14,T,T-syn
core,earth,E,E-whole,E,E-whole,10,E,E-whole
core,middle,T,T-syn,E,E-prop,4,T,T-syn
corn,chips,S,S-targetstate,E,E-comp,1,E,E-comp
corn,cob,E,E-whole,E,E-whole,13,E,E-whole
corn,field,S,S-loc,S,S-loc,6,S,S-loc
corner,angle,E,E-prop,E,E-prop,2,E,E-prop
corner,edge,E,E-prop,E,E-prop,4,T,T-syn
corner,room,E,E-whole,E,E-whole,4,S,S-loc
corner,street,S,S-loc,S,S-loc,4,S,S-loc
corridor,hall,T,T-coord,T,T-coord,10,T,T-syn
corridor,hallway,T,T-syn,T,T-coord,17,T,T-syn
corridor,house,E,E-whole,E,E-whole,1,E,E-whole
corridor,long,E,E-prop,E,E-state,3,E,E-prop
cotton,ball,E,E-whole,E,E-comp,4,E,E-comp
cotton,cloth,E,E-whole,E,E-comp,2,E,E-whole
cotton,clothes,E,E-whole,E,E-comp,6,E,E-whole
cotton,wool,T,T-coord,S,S-targetstate,5,T,T-coord
country,home,S,S-targetstate,S,S-targetstate,2,S,S-loc
crab,legs,E,E-comp,E,E-comp,3,E,E-comp
cream,pie,S,S-obj,S,S-obj,2,E,E-comp
credit,debit,T,T-ant,T,T-ant,4,T,T-ant
credit,due,E,E-prop,E,E-prop,3,I,I-contin
crime,criminal,S,S-agent,S,S-agent,6,T,T-super
crime,jail,S,S-loc,S,S-loc,4,S,S-loc
crime,punishment,S,S-action,S,S-action,8,S,S-function
cucumber,cool,I,I-contin,E,E-prop,5,E,E-prop
cucumber,pickle,E,E-state,T,T-sub,4,T,T-ant
cucumber,salad,E,E-whole,E,E-whole,13,S,S-obj
culture,art,S,S-obj,E,E-comp,4,S,S-obj
culture,arts,S,S-obj,E,E-comp,2,S,S-obj
culture,civilization,T,T-syn,E,E-whole,1,T,T-syn
cup,coffee,S,S-obj,S,S-obj,10,S,S-obj
cup,saucer,S,S-obj,S,S-obj,5,S,S-obj
cup,tea,S,S-obj,S,S-obj,12,E,E-comp
curtain,rod,S,S-obj,S,S-obj,3,E,E-comp
curtain,window,S,S-loc,S,S-obj,11,S,S-loc
date,day,E,E-comp,E,E-comp,4,T,T-coord
date,night,S,S-time,S,S-time,3,S,S-time
date,time,T,T-coord,S,S-time,7,T,T-super
date,today,T,T-sub,T,T-sub,3,S,S-time
daughter,mother,T,T-coord,S,S-agent,12,T,T-super
daughter,sister,T,T-coord,T,T-super,4,T,T-coord
daughter,son,T,T-ant,T,T-ant,14,T,T-coord
dawn,breaking,S,S-action,S,S-action,2,S,S-action
dawn,day,S,S-time,E,E-comp,4,T,T-syn
dawn,dusk,T,T-ant,T,T-ant,7,T,T-ant
dawn,morning,S,S-time,E,E-prop,15,T,T-syn
dawn,sun,S,S-obj,S,S-obj,11,S,S-time
deer,doe,T,T-sub,T,T-sub,7,T,T-coord
deer,headlights,S,S-obj,S,S-obj,4,S,S-obj
deer,hunt,S,S-action,S,S-action,2,S,S-action
democracy,America,I,I-contin,T,T-sub,3,S,S-loc
democracy,freedom,E,E-prop,E,E-prop,6,I,I-contin
democracy,government,E,E-whole,S,S-action,9,T,T-syn
democracy,Greece,I,I-contin,T,T-sub,4,I,I-contin
democracy,republic,E,E-whole,E,E-whole,2,T,T-coord
dentist,doctor,T,T-super,T,T-coord,5,T,T-coord
dentist,pain,S,S-context,S,S-context,8,I,I-emo
depth,breadth,T,T-ant,T,T-ant,5,T,T-ant
depth,ocean,S,S-obj,S,S-obj,9,E,E-prop
depth,sea,E,E-whole,S,S-obj,4,S,S-loc
destination,end,T,T-syn,E,E-prop,4,T,T-syn
destination,journey,S,S-action,S,S-action,4,I,I-contin
destination,place,T,T-super,E,E-prop,6,T,T-syn
destination,travel,S,S-time,S,S-action,11,S,S-function
destination,trip,S,S-action,S,S-action,6,S,S-function
diamond,jewelry,T,T-super,T,T-super,4,T,T-super
dictionary,book,T,T-super,T,T-super,7,T,T-super
dictionary,definition,E,E-comp,E,E-comp,3,E,E-comp
dignity,class,T,T-coord,T,T-coord,1,I,I-eval
dignity,honor,T,T-coord,T,T-coord,8,T,T-syn
dignity,poise,T,T-coord,T,T-coord,2,T,T-syn
dignity,pride,T,T-coord,T,T-coord,13,T,T-syn
dignity,respect,T,T-coord,T,T-coord,11,T,T-syn
dinner,eat,S,S-action,S,S-action,5,S,S-action
dinner,lunch,T,T-coord,T,T-coord,6,T,T-coord
dinner,supper,T,T-coord,T,T-syn,11,T,T-syn
dinosaur,old,E,E-prop,E,E-prop,8,E,E-prop
dishwasher,clean,S,S-targetstate,S,S-function,8,S,S-function
dishwasher,machine,T,T-super,T,T-super,3,T,T-super
divorce,separate,S,S-action,S,S-action,5,T,T-syn
divorce,separation,S,S-context,S,S-action,5,T,T-syn
divorce,split,S,S-action,S,S-action,6,S,S-action
doctor,medical,E,E-prop,E,E-prop,3,T,T-super
doctor,nurse,T,T-coord,S,S-agent,8,T,T-coord
dog,bark,E,E-beh,E,E-beh,3,E,E-beh
dog,cat,T,T-coord,T,T-coord,18,T,T-coord
dog,pet,T,T-super,T,T-super,6,T,T-super
dolphin,fish,T,T-super,S,S-agent,8,T,T-super
donkey,ass,T,T-syn,T,T-coord,18,T,T-syn
donkey,mule,T,T-sub,T,T-coord,10,T,T-coord
door,open,E,E-state,E,E-state,13,E,E-state
door,opening,T,T-super,E,E-state,4,S,S-action
door,window,S,S-obj,S,S-obj,9,T,T-coord
drum,band,S,S-agent,S,S-obj,3,S,S-loc
drum,bang,S,S-action,S,S-action,5,E,E-beh
drum,bass,T,T-coord,S,S-obj,4,T,T-coord
drum,percussion,T,T-super,E,E-whole,2,T,T-super
ear,hear,S,S-function,E,E-beh,10,S,S-function
ear,hearing,E,E-prop,E,E-prop,7,S,S-function
ear,wax,E,E-comp,E,E-comp,4,E,E-comp
earring,diamond,E,E-comp,E,E-comp,5,E,E-comp
earring,ear,S,S-obj,S,S-obj,9,S,S-loc
earring,gold,E,E-comp,E,E-comp,7,E,E-comp
earring,hoop,E,E-prop,E,E-prop,2,E,E-comp
earth,blue,E,E-prop,E,E-prop,4,E,E-prop
earth,planet,T,T-super,T,T-super,14,T,T-syn
earthquake,shake,S,S-action,S,S-action,11,E,E-beh
earthquake,tremor,T,T-syn,E,E-beh,6,T,T-syn
education,knowledge,S,S-obj,S,S-function,3,T,T-syn
education,learning,S,S-action,S,S-action,5,T,T-syn
efficiency,fast,I,I-contin,E,E-prop,7,T,T-syn
efficiency,quick,I,I-contin,E,E-prop,6,T,T-syn
efficiency,speed,I,I-contin,E,E-prop,4,T,T-coord
efficiency,work,S,S-action,S,S-action,5,I,I-contin
election,rigged,S,S-context,S,S-targetstate,2,E,E-state
element,chemical,T,T-super,E,E-whole,2,T,T-super
element,metal,T,T-sub,E,E-comp,2,T,T-coord
element,science,S,S-obj,S,S-obj,5,T,T-super
empire,kingdom,T,T-coord,T,T-sub,7,T,T-syn
empire,Star Wars,I,I-contin,S,S-obj,3,S,S-loc
empire,state,T,T-syn,E,E-comp,7,T,T-coord
enemy,evil,I,I-eval,I,I-eval,3,I,I-eval
energy,electricity,S,S-obj,E,E-prop,2,T,T-syn
energy,high,E,E-state,E,E-state,1,E,E-state
entertainment,fun,I,I-eval,E,E-prop,9,T,T-syn
entertainment,movie,T,T-sub,T,T-sub,8,T,T-coord
entertainment,movies,T,T-sub,T,T-sub,6,T,T-super
envelope,mail,T,T-super,S,S-obj,14,S,S-function
envelope,paper,E,E-comp,E,E-comp,5,E,E-comp
evidence,court,S,S-loc,S,S-loc,5,S,S-loc
evidence,crime,S,S-time,S,S-time,7,S,S-obj
evidence,facts,E,E-comp,E,E-prop,2,T,T-syn
exam,bar,T,T-sub,T,T-sub,0,T,T-ant
exam,examination,S,S-time,S,S-time,3,T,T-syn
exam,test,T,T-super,E,E-comp,26,T,T-syn
eye,glasses,S,S-obj,S,S-obj,6,E,E-whole
eye,see,S,S-function,E,E-beh,9,S,S-function
eye,sight,E,E-prop,E,E-prop,6,E,E-prop
eyebrow,eye,S,S-obj,E,E-whole,7,E,E-whole
eyebrow,face,E,E-whole,E,E-whole,6,E,E-whole
eyebrow,piercing,S,S-obj,S,S-obj,2,S,S-obj
face,visage,T,T-syn,T,T-syn,3,T,T-syn
factory,build,S,S-action,S,S-action,2,S,S-action
family,friends,T,T-coord,S,S-agent,5,T,T-coord
family,mom,T,T-sub,T,T-sub,2,T,T-sub
family,mother,T,T-sub,T,T-sub,2,E,E-whole
farm,cows,S,S-obj,S,S-obj,3,S,S-obj
farm,house,T,T-super,T,T-super,4,S,S-loc
feedback,critique,T,T-coord,T,T-syn,2,T,T-syn
feedback,information,T,T-super,E,E-comp,2,T,T-syn
feedback,loop,E,E-prop,E,E-prop,4,T,T-syn
feedback,positive,E,E-prop,E,E-prop,6,I,I-eval
feedback,response,T,T-super,E,E-comp,11,T,T-syn
festival,carnival,T,T-sub,T,T-coord,7,T,T-syn
festival,celebration,T,T-super,S,S-action,4,T,T-syn
festival,music,S,S-obj,S,S-obj,7,S,S-obj
festival,party,T,T-coord,S,S-context,14,T,T-syn
fish,food,T,T-super,T,T-sub,5,S,S-function
fish,water,S,S-loc,S,S-loc,6,S,S-loc
fishing,fish,S,S-obj,S,S-agent,9,S,S-obj
flour,baking,S,S-action,S,S-action,11,S,S-function
flour,bread,E,E-whole,E,E-whole,10,E,E-comp
flour,cake,E,E-whole,E,E-whole,7,E,E-whole
flour,white,E,E-prop,E,E-beh,9,E,E-prop
flower,petal,E,E-comp,E,E-comp,4,E,E-comp
flower,rose,T,T-sub,T,T-sub,8,T,T-coord
flower,smell,S,S-action,S,S-action,3,E,E-prop
flute,champagne,S,S-obj,S,S-obj,3,S,S-obj
flute,piccolo,T,T-sub,T,T-coord,3,T,T-coord
fog,cloud,T,T-coord,E,E-whole,7,T,T-coord
fog,horn,S,S-obj,S,S-obj,2,S,S-obj
fog,London,S,S-loc,S,S-loc,4,S,S-loc
football,ball,S,S-obj,E,E-prop,4,E,E-comp
football,game,S,S-time,S,S-time,6,T,T-super
forest,green,E,E-prop,E,E-prop,11,E,E-prop
forest,tree,E,E-comp,E,E-comp,5,E,E-whole
forest,trees,E,E-comp,E,E-comp,22,E,E-whole
forest,woods,T,T-coord,T,T-coord,5,T,T-syn
fork,knife,T,T-coord,T,T-coord,19,T,T-coord
fox,clever,E,E-prop,E,E-prop,3,I,I-contin
fox,hound,S,S-agent,S,S-agent,5,T,T-coord
fox,sly,E,E-prop,E,E-prop,6,E,E-prop
frame,door,E,E-comp,E,E-comp,2,S,S-obj
frame,glass,E,E-comp,E,E-comp,2,E,E-comp
frame,window,E,E-comp,E,E-comp,3,E,E-whole
freedom,America,I,I-contin,I,I-contin,6,I,I-contin
freedom,eagle,I,I-contin,S,S-agent,3,I,I-contin
freedom,flag,I,I-contin,S,S-obj,4,I,I-contin
friend,best,S,S-targetstate,S,S-targetstate,5,T,T-syn
friendship,fun,I,I-eval,I,I-eval,2,I,I-eval
friendship,love,T,T-coord,E,E-prop,10,I,I-contin
frog,croak,E,E-beh,E,E-beh,3,E,E-beh
frog,green,E,E-prop,E,E-prop,12,E,E-prop
frog,leap,E,E-beh,E,E-beh,5,E,E-beh
fruit,apple,T,T-sub,T,T-sub,16,T,T-super
fruit,banana,T,T-sub,T,T-sub,9,T,T-super
fruit,orange,T,T-sub,T,T-sub,7,T,T-coord
fruit,salad,E,E-whole,E,E-whole,3,S,S-obj
fruit,vegetable,T,T-ant,T,T-ant,4,T,T-coord
funeral,dead,S,S-context,S,S-context,3,S,S-obj
funeral,death,S,S-time,I,I-contin,20,S,S-time
furniture,table,T,T-sub,T,T-sub,10,T,T-super
future,ahead,I,I-contin,E,E-prop,3,I,I-contin
future,tense,T,T-super,T,T-super,7,T,T-syn
future,tomorrow,T,T-sub,E,E-state,5,T,T-syn
garage,carport,T,T-sub,T,T-coord,2,T,T-syn
garage,door,E,E-comp,E,E-comp,7,E,E-comp
garage,sale,S,S-action,S,S-action,2,S,S-function
garden,flower,S,S-obj,S,S-obj,6,S,S-obj
garden,green,E,E-prop,E,E-prop,6,E,E-prop
garden,plants,S,S-obj,S,S-obj,3,S,S-obj
garden,vegetables,S,S-obj,S,S-obj,5,S,S-obj
genius,brilliant,T,T-syn,E,E-prop,4,T,T-syn
genius,clever,E,E-prop,E,E-prop,4,T,T-syn
genius,intelligent,E,E-prop,E,E-prop,5,T,T-syn
genius,smart,E,E-prop,E,E-prop,17,T,T-syn
