cue,category,response,nWords,frequency,human1,human2,model1,model2
arrow,Weapons,used by native people,2,9,S,S-PERSON,S,S-FUNC
arrow,Weapons,requires a bow,1,7,S,S-OBJECT,I,I-CONTIN
artichoke,Vegetables,is eaten,1,11,S,S-ACTION,E,E-BEH
artichoke,Vegetables,is green,1,12,E,E-EXSURF,E,E-EXSURF
artichoke,Vegetables,a vegetable,1,8,T,T-SUPER,T,T-ONT
artichoke,Vegetables,tastes good,1,7,I,I-EVAL,E,E-INSURF
ashtray,Objects,is decorative,1,8,E,E-SYS,I,I-EVAL
ashtray,Objects,used for putting cigarettes,1,21,S,S-FUNC,S,S-FUNC
ashtray,Objects,used for throwing ashes,1,18,S,S-FUNC,S,S-FUNC
ashtray,Objects,made of glass,1,9,E,E-MAT,E,E-MAT
ashtray,Objects,made of wood,1,7,E,E-MAT,E,E-MAT
ashtray,Objects,has an unpleasant smell,1,5,I,I-EVAL,E,E-EXSURF
asparagus,Vegetables,is eaten,1,12,S,S-ACTION,S,S-FUNC
asparagus,Vegetables,is green,1,9,E,E-EXSURF,E,E-EXSURF
asparagus,Vegetables,is long,1,6,E,E-QUANT,E,E-SYS
asparagus,Vegetables,a vegetable,1,17,T,T-SUPER,T,T-SUPER
asparagus,Vegetables,tastes good,1,6,I,I-EVAL,I,I-EVAL
avocado,Fruits,is creamy,1,6,E,E-EXSURF,E,E-INSURF
avocado,Fruits,is eaten,1,6,S,S-ACTION,S,S-ACTION
avocado,Fruits,a fruit,1,21,T,T-SUPER,T,T-ONT
avocado,Fruits,is green,1,16,E,E-EXSURF,E,E-EXSURF
avocado,Fruits,used for making salad,1,10,S,S-ACTION,S,S-FUNC
avocado,Fruits,tastes good,1,9,I,I-EVAL,I,I-EVAL
avocado,Fruits,has a pit,1,5,E,E-INCOMP,E,E-INCOMP
axe,Tools,a tool,1,13,T,T-SUPER,T,T-SYN
axe,Tools,used for cutting,1,25,S,S-FUNC,S,S-FUNC
axe,Tools,used for chopping down,2,10,S,S-FUNC,S,S-FUNC
axe,Tools,made of metal,1,6,E,E-MAT,E,E-MAT
ball,Objects,used by children,1,5,S,S-PERSON,S,S-PERSON
ball,Objects,football,1,15,S,S-EVENT,T,T-SYN
ball,Objects,game,1,10,S,S-SOCART,S,S-EVENT
ball,Objects,is round,1,8,E,E-EXSURF,E,E-EXSURF
ball,Objects,made of rubber,1,5,E,E-MAT,E,E-MAT
balloon,Toys,is blown,1,11,S,S-ACTION,S,S-ACTION
balloon,Toys,children,1,6,S,S-PERSON,S,S-PERSON
balloon,Toys,explodes,1,5,E,E-BEH,E,E-BEH
balloon,Toys,game,1,9,S,S-SOCART,S,S-EVENT
balloon,Toys,ornament,1,8,T,T-SUPER,S,S-FUNC
balloon,Toys,different colors,1,15,E,E-EXSURF,E,E-EXSURF
balloon,Toys,has air,1,8,E,E-INCOMP,E,E-INCOMP
balloon,Toys,found in parties,1,22,S,S-EVENT,S,S-EVENT
banana,Fruits,a dessert,1,5,T,T-SUPER,S,S-FUNC
banana,Fruits,a foodstuff,1,9,T,T-SUPER,T,T-ONT
banana,Fruits,a fruit,1,16,T,T-SUPER,T,T-SUPER
banana,Fruits,is sweet,1,5,E,E-INSURF,E,E-INSURF
banana,Fruits,used for making smoothies,1,10,S,S-ACTION,S,S-FUNC
banana,Fruits,is yellow,1,13,E,E-EXSURF,E,E-EXSURF
banana,Fruits,has potasium,1,12,E,E-INCOMP,E,E-INSURF
banana,Fruits,has skin,1,6,E,E-EXCOMP,E,E-EXCOMP
banana,Fruits,tastes good,1,11,I,I-EVAL,E,E-INSURF
banana,Fruits,eaten by monkeys,1,6,S,S-ACTION,S,S-ACTION
barn,Constructions,used for storing food,1,5,S,S-FUNC,S,S-FUNC
barn,Constructions,used for storing grain,1,9,S,S-FUNC,S,S-FUNC
barn,Constructions,where farm animals are located,2,13,S,S-FUNC,S,S-LOC
barn,Constructions,where farm animals are located,2,7,S,S-FUNC,S,S-LOC
barn,Constructions,made of wood,1,5,E,E-MAT,E,E-MAT
barn,Constructions,found in the field,1,15,S,S-LOC,S,S-LOC
barrel,Containers,beer,1,17,S,S-OBJECT,S,S-FUNC
barrel,Containers,wine,1,24,S,S-OBJECT,S,S-OBJECT
barrel,Containers,made of wood,1,17,E,E-MAT,E,E-MAT
barrel,Containers,found in the cellar,1,6,S,S-LOC,S,S-LOC
baseball bat,Objects,ball,1,8,S,S-OBJECT,S,S-FUNC
baseball bat,Objects,game,1,8,S,S-SOCART,S,S-EVENT
baseball bat,Objects,a stick,1,10,S,S-OBJECT,T,T-SYN
baseball bat,Objects,used for hitting,1,6,S,S-FUNC,S,S-FUNC
baseball bat,Objects,used for playing baseball,1,14,S,S-FUNC,S,S-FUNC
baseball bat,Objects,used for playing sports,1,9,S,S-FUNC,S,S-FUNC
baseball bat,Objects,made of wood,1,12,E,E-MAT,E,E-MAT
baseball glove,Objects,ball,1,7,S,S-OBJECT,E,E-WHOLE
baseball glove,Objects,used for catching,1,5,S,S-FUNC,S,S-FUNC
baseball glove,Objects,used for playing,1,11,S,S-FUNC,S,S-FUNC
baseball glove,Objects,used for playing sports,1,14,S,S-FUNC,S,S-FUNC
baseball glove,Objects,used for protecting,1,13,S,S-FUNC,S,S-FUNC
baseball glove,Objects,worn on the hand,1,6,S,S-LOC,S,S-ACTION
baseball glove,Objects,made of leather,1,15,E,E-MAT,E,E-MAT
basin,House parts,hygiene,1,6,I,I-REP,S,S-FUNC
basin,House parts,soap,1,5,S,S-OBJECT,S,S-OBJECT
basin,House parts,used for bathing,1,10,S,S-FUNC,S,S-FUNC
basin,House parts,used for relaxing,1,6,S,S-FUNC,S,S-FUNC
basin,House parts,contains water,1,8,S,S-OBJECT,S,S-OBJECT
basin,House parts,found in the bathroom,1,15,S,S-LOC,S,S-LOC
basket,Containers,bread,1,7,S,S-FUNC,S,S-OBJECT
basket,Containers,fruit,1,8,S,S-LIVING,S,S-OBJECT
basket,Containers,picnic,1,5,S,S-EVENT,S,S-EVENT
basket,Containers,used for storing things,1,6,S,S-FUNC,S,S-FUNC
basket,Containers,is useful,1,8,I,I-EVAL,E,E-SYS
basket,Containers,made of wicker,1,11,E,E-MAT,E,E-MAT
bat,Animals,an animal,1,9,T,T-SUPER,T,T-ONT
bat,Animals,is bind,1,7,E,E-SYS,E,E-SYS
bat,Animals,is black,1,7,E,E-EXSURF,E,E-EXSURF
bat,Animals,a bug,1,5,T,T-SUPER,T,T-SYN
bat,Animals,flies,1,10,E,E-BEH,E,E-BEH
bat,Animals,night,1,16,E,E-BEH,S,S-TIME
bat,Animals,is ugly,1,17,I,I-EVAL,I,I-EVAL
beach shovel,Toys,broom,1,6,S,S-OBJECT,T,T-COORD
beach shovel,Toys,used for cleaning,1,5,S,S-FUNC,S,S-FUNC
beach shovel,Toys,used for collecting garbage,1,16,S,S-FUNC,S,S-FUNC
beach shovel,Toys,made of plastic,1,9,E,E-MAT,E,E-MAT
bear,Animals,is agressive,1,11,E,E-SYS,E,E-SYS
bear,Animals,an animal,1,13,T,T-SUPER,T,T-ONT
bear,Animals,is big,1,15,E,E-QUANT,E,E-SYS
bear,Animals,is grizzly,1,5,E,E-EXSURF,E,E-SYS
bear,Animals,is white,1,7,E,E-EXSURF,E,E-EXSURF
bear,Animals,has hair,1,9,E,E-EXCOMP,E,E-EXCOMP
bed,Furniture,used for resting,1,16,S,S-FUNC,S,S-FUNC
bed,Furniture,used for sleeping,1,7,S,S-FUNC,S,S-FUNC
bee,Animals,bites,1,17,E,E-BEH,E,E-BEH
bee,Animals,drone,1,5,T,T-SUBORD,T,T-SUBORD
bee,Animals,flies,1,5,E,E-BEH,E,E-BEH
bee,Animals,is hardworking,1,5,E,E-SYS,E,E-BEH
bee,Animals,an insect,1,8,T,T-SUPER,T,T-ONT
bee,Animals,queen,1,9,T,T-SUBORD,S,S-PERSON
bee,Animals,makes honey,1,30,E,E-BEH,E,E-BEH
bee,Animals,lives in the beehive,1,10,S,S-LOC,S,S-LOC
bee,Animals,lives in the hive,1,12,S,S-LOC,S,S-LOC
beetle,Animals,an animal,1,5,T,T-SUPER,T,T-SYN
beetle,Animals,is black,1,11,E,E-EXSURF,E,E-EXSURF
beetle,Animals,a bug,1,5,T,T-SUPER,T,T-ONT
beetle,Animals,an insect,1,11,T,T-SUPER,T,T-ONT
beetle,Animals,is small,1,9,E,E-QUANT,E,E-SYS
beetle,Animals,is ugly,1,5,I,I-EVAL,I,I-EVAL
bell,Objects,alarm,1,5,S,S-FUNC,S,S-FUNC
bell,Objects,is noisy,1,8,E,E-SYS,E,E-SYS
bell,Objects,rings,1,8,E,E-BEH,E,E-BEH
bell,Objects,sound,1,7,S,S-FUNC,E,E-EXSURF
bell,Objects,used for calling,1,7,S,S-ACTION,S,S-FUNC
bell,Objects,made of bronze,1,9,E,E-MAT,E,E-MAT
bell,Objects,made of metal,1,5,E,E-MAT,E,E-MAT
bell,Objects,found in the church,1,20,S,S-LOC,S,S-LOC
bell,Objects,found in the school,1,13,S,S-LOC,S,S-LOC
belt,Clothing,used for fastenning,1,12,S,S-FUNC,S,S-FUNC
belt,Clothing,used to hold,1,11,S,S-FUNC,S,S-FUNC
belt,Clothing,worn on pants,1,12,S,S-LOC,S,S-FUNC
belt,Clothing,different colors,1,5,E,E-EXSURF,E,E-EXSURF
belt,Clothing,has a buckle,1,14,E,E-EXCOMP,E,E-EXCOMP
belt,Clothing,made of leather,1,18,E,E-MAT,E,E-MAT
bench,Furniture,is comfortable,1,5,I,I-EVAL,E,E-SYS
bench,Furniture,rest,1,10,S,S-FUNC,S,S-FUNC
bench,Furniture,used for resting,1,7,S,S-FUNC,S,S-FUNC
bench,Furniture,used for sitting,1,5,S,S-FUNC,S,S-FUNC
bench,Furniture,made of wood,1,13,E,E-MAT,E,E-MAT
bench,Furniture,found in the school,1,5,S,S-LOC,S,S-LOC
bench,Furniture,found in the square,1,23,S,S-LOC,S,S-LOC
bicycle,Vehicles,exercise,1,12,S,S-FUNC,S,S-ACTION
bicycle,Vehicles,race,1,12,S,S-FUNC,S,S-EVENT
bicycle,Vehicles,sport,1,5,S,S-FUNC,S,S-EVENT
bicycle,Vehicles,used for riding,1,14,S,S-FUNC,S,S-FUNC
bicycle,Vehicles,has brakes,1,7,E,E-EXCOMP,E,E-EXCOMP
bicycle,Vehicles,has wheels,1,16,E,E-EXCOMP,E,E-EXCOMP
bicycle,Vehicles,a mean of transportation,1,10,T,T-SUPER,S,S-FUNC
binoculars,Tools,distance,1,6,S,S-SOCART,S,S-FUNC
binoculars,Tools,used for watching far,1,13,S,S-FUNC,S,S-FUNC
binoculars,Tools,used to see,1,21,S,S-FUNC,S,S-FUNC
binoculars,Tools,has magnification,1,8,E,E-SYS,E,E-SYS
bird,Animals,an animal,1,7,T,T-SUPER,T,T-ONT
bird,Animals,a bird,1,9,T,T-SUPER,T,T-SYN
bird,Animals,flies,1,19,E,E-BEH,E,E-BEH
bird,Animals,freedom,1,8,E,E-ABSTR,I,I-REP
bird,Animals,nest,1,6,S,S-OBJECT,S,S-LOC
bird,Animals,sings,1,13,E,E-BEH,E,E-BEH
bird,Animals,different colors,1,11,E,E-EXSURF,E,E-QUANT
bird,Animals,has feathers,1,9,E,E-EXCOMP,E,E-EXCOMP
bird,Animals,has wings,1,11,E,E-EXCOMP,E,E-EXCOMP
bird,Animals,lays eggs,1,5,E,E-BEH,E,E-BEH
bird,Animals,has a beak,1,7,E,E-EXCOMP,E,E-EXCOMP
bird house,Constructions,birds,1,5,S,S-LIVING,S,S-LIVING
bird house,Constructions,nest,1,13,S,S-OBJECT,T,T-SUBORD
bird house,Constructions,baker bird,2,9,S,S-OBJECT,S,S-PERSON
bird house,Constructions,found in the tree,1,8,S,S-LOC,S,S-LOC
bird nest,Constructions,a home,1,5,T,T-SUPER,S,S-LOC
bird nest,Constructions,where birds live,1,8,S,S-LIVING,S,S-LOC
bird nest,Constructions,has eggs,1,7,S,S-LIVING,E,E-INCOMP
bird nest,Constructions,has feathers,1,5,E,E-EXCOMP,E,E-EXCOMP
bird nest,Constructions,made of mud,1,6,E,E-MAT,E,E-MAT
bird nest,Constructions,made of straw,1,10,E,E-MAT,E,E-MAT
blackboard,Utensils,is black,1,11,E,E-EXSURF,E,E-EXSURF
blackboard,Utensils,eraser,1,5,S,S-OBJECT,S,S-OBJECT
blackboard,Utensils,is green,1,7,E,E-EXSURF,E,E-EXSURF
blackboard,Utensils,used for drawing,1,5,S,S-FUNC,S,S-FUNC
blackboard,Utensils,used for teaching,1,8,S,S-FUNC,S,S-FUNC
blackboard,Utensils,used for writing,1,20,S,S-FUNC,S,S-FUNC
blackboard,Utensils,used with chalk,1,14,S,S-OBJECT,S,S-FUNC
blackboard,Utensils,found in the school,1,17,S,S-BUILD,S,S-LOC
blimp,Vehicles,air,1,14,S,S-LOC,S,S-LOC
blimp,Vehicles,is big,1,7,E,E-QUANT,E,E-SYS
blimp,Vehicles,used for flying,1,12,S,S-FUNC,S,S-FUNC
blimp,Vehicles,war,1,5,S,S-EVENT,S,S-EVENT
blimp,Vehicles,contains gas,2,5,E,E-INCOMP,E,E-INCOMP
blimp,Vehicles,hot-air balloon,2,7,S,S-OBJECT,T,T-SYN
blimp,Vehicles,a mean of transportation,1,7,T,T-SUPER,T,T-SUPER
blouse,Clothing,clothing,1,16,T,T-SUPER,T,T-SYN
blouse,Clothing,used by women,1,16,S,S-PERSON,S,S-PERSON
blouse,Clothing,different colors,1,5,E,E-EXSURF,E,E-EXSURF
blouse,Clothing,has buttons,1,7,E,E-EXCOMP,E,E-EXCOMP
blouse,Clothing,made of silk,1,7,E,E-MAT,E,E-MAT
blowfish,Animals,an animal,1,6,T,T-SUPER,T,T-ONT
blowfish,Animals,is poisonous,1,5,E,E-SYS,E,E-SYS
blowfish,Animals,lives in the sea,1,10,S,S-LOC,S,S-LOC
blowfish,Animals,lives in the water,1,11,S,S-LOC,S,S-LOC
book,Objects,used for reading,1,13,S,S-FUNC,S,S-FUNC
book,Objects,used for studying,1,8,S,S-FUNC,S,S-FUNC
book,Objects,has a cover,1,7,E,E-EXCOMP,E,E-EXCOMP
book,Objects,has a leaf,1,11,E,E-EXCOMP,E,E-EXCOMP
book,Objects,found in the library,1,11,S,S-LOC,S,S-LOC
boot,Clothing,is comfortable,1,6,I,I-EVAL,E,E-SYS
boot,Clothing,is footwear,1,8,T,T-SUPER,T,T-SYN
boot,Clothing,used for cold,1,5,S,S-FUNC,S,S-FUNC
boot,Clothing,used for the rain,1,5,S,S-FUNC,S,S-FUNC
boot,Clothing,made of leather,1,10,E,E-MAT,E,E-MAT
boot,Clothing,made of rubber,1,5,E,E-MAT,E,E-MAT
bottle,Containers,a container,1,7,T,T-SUPER,T,T-SYN
bottle,Containers,drinks,1,5,S,S-OBJECT,S,S-OBJECT
bottle,Containers,eg - glass,1,12,E,E-MAT,E,E-MAT
bottle,Containers,used for keeping fluids,1,11,S,S-FUNC,S,S-FUNC
bottle,Containers,wine,1,5,S,S-OBJECT,S,S-OBJECT
bottle,Containers,made of plastic,1,7,E,E-MAT,E,E-MAT
bow,Accessories,an ornament,1,8,T,T-SUPER,E,E-EXCOMP
bow,Accessories,worn at parties,1,5,S,S-EVENT,S,S-EVENT
bow,Accessories,different colors,1,6,E,E-EXSURF,E,E-EXSURF
bow,Accessories,used for tying hair,2,9,S,S-FUNC,S,S-FUNC
bow,Accessories,made of ribbon,1,5,E,E-MAT,E,E-MAT
bow,Accessories,part of a suit,1,6,E,E-WHOLE,E,E-EXCOMP
bowl,Utensils,a container,1,5,T,T-SUPER,T,T-SYN
bowl,Utensils,food,1,6,S,S-OBJECT,S,S-OBJECT
bowl,Utensils,salad,1,18,S,S-OBJECT,S,S-OBJECT
bowl,Utensils,used for mixing,1,10,S,S-FUNC,S,S-FUNC
bowl,Utensils,different colors,1,7,E,E-EXSURF,E,E-EXSURF
bowl,Utensils,made of plastic,1,9,E,E-MAT,E,E-MAT
bowl,Utensils,found in the kitchen,1,9,S,S-LOC,S,S-LOC
box,Containers,shoe,1,6,S,S-OBJECT,E,E-WHOLE
box,Containers,is square,1,5,E,E-EXSURF,E,E-EXSURF
box,Containers,eg - strong,1,6,T,T-SUBORD,E,E-SYS
box,Containers,used for storing things,1,14,S,S-FUNC,S,S-FUNC
box,Containers,made of cardboard,1,18,E,E-MAT,E,E-MAT
box,Containers,made of wood,1,15,E,E-MAT,E,E-MAT
brain,Body parts,a part of the body,1,5,E,E-WHOLE,T,T-ONT
brain,Body parts,is important,1,5,I,I-EVAL,E,E-SYS
brain,Body parts,an organ,1,8,T,T-SUPER,T,T-SUBORD
brain,Body parts,used to think,1,11,S,S-FUNC,S,S-FUNC
brain,Body parts,is in the head,1,9,S,S-LOC,E,E-INCOMP
bread,Food,food,1,8,S,S-OBJECT,T,T-SUPER
bread,Food,a foodstuff,1,12,T,T-SUPER,T,T-SUBORD
bread,Food,used for sandwich,1,9,S,S-ACTION,S,S-FUNC
bread,Food,wheat,1,5,E,E-INCOMP,E,E-MAT
bread,Food,eg - white,1,5,T,T-SUBORD,E,E-EXSURF
bread,Food,has flour,1,14,E,E-INCOMP,E,E-MAT
bread,Food,is in bakeries,1,7,S,S-BUILD,S,S-LOC
bread,Food,tastes good,1,7,I,I-EVAL,E,E-INSURF
broom,Tools,used for cleaning,1,17,S,S-FUNC,S,S-FUNC
broom,Tools,used for sweeping,1,17,S,S-FUNC,S,S-FUNC
broom,Tools,witch,1,7,S,S-PERSON,S,S-PERSON
broom,Tools,has a stick,1,14,E,E-EXCOMP,E,E-EXCOMP
broom,Tools,made of plastic,1,5,E,E-MAT,E,E-MAT
broom,Tools,made of straw,1,16,E,E-MAT,E,E-MAT
brush,Utensils,used for cleaning,1,19,S,S-FUNC,S,S-FUNC
brush,Utensils,used for washing clothes,1,8,S,S-FUNC,S,S-FUNC
brush,Utensils,has bristles,1,6,E,E-EXCOMP,E,E-EXCOMP
brush,Utensils,used for combing hair,1,9,S,S-FUNC,S,S-FUNC
brush,Utensils,made of plastic,1,5,E,E-MAT,E,E-MAT
brush,Utensils,used for cleaning your teeth,1,14,S,S-FUNC,S,S-FUNC
buffalo,Animals,an animal,1,26,T,T-SUPER,T,T-ONT
buffalo,Animals,is big,1,12,E,E-QUANT,E,E-SYS
buffalo,Animals,is dangerous,1,5,I,I-EVAL,E,E-SYS
buffalo,Animals,a mammal,1,5,T,T-SUPER,T,T-ONT
buffalo,Animals,is wild,1,5,E,E-SYS,E,E-SYS
buffalo,Animals,has horns,1,7,E,E-EXCOMP,E,E-EXCOMP
bus,Vehicles,is big,1,5,E,E-QUANT,E,E-QUANT
bus,Vehicles,driver,1,6,S,S-LIVING,S,S-PERSON
bus,Vehicles,is old,1,5,E,E-SYS,E,E-SYS
bus,Vehicles,used by passengers,1,11,S,S-PERSON,S,S-FUNC
bus,Vehicles,used for traveling,1,8,S,S-FUNC,S,S-FUNC
bus,Vehicles,has seats,1,7,E,E-INCOMP,E,E-EXCOMP
bus,Vehicles,eg - interurban bus,2,5,T,T-SUBORD,T,T-SUBORD
bus,Vehicles,a mean of transportation,1,13,T,T-SUPER,S,S-FUNC
butterfly,Animals,is colorful,1,23,E,E-EXSURF,E,E-EXSURF
butterfly,Animals,flies,1,12,E,E-BEH,E,E-BEH
butterfly,Animals,an insect,1,12,T,T-SUPER,T,T-ONT
butterfly,Animals,nectar,1,5,S,S-OBJECT,S,S-OBJECT
butterfly,Animals,is nice,1,15,I,I-EVAL,I,I-EVAL
butterfly,Animals,spring,1,10,S,S-TIME,S,S-TIME
butterfly,Animals,has wings,1,10,E,E-EXCOMP,E,E-EXCOMP
butterfly,Animals,perches on flowers,1,10,E,E-BEH,E,E-BEH
button,Accessories,an ornament,1,5,T,T-SUPER,S,S-SOCART
button,Accessories,is sewed,1,5,S,S-ACTION,E,E-EXCOMP
button,Accessories,is small,1,5,E,E-QUANT,E,E-QUANT
button,Accessories,is useful,1,7,I,I-EVAL,I,I-EVAL
button,Accessories,different colors,1,10,E,E-EXSURF,E,E-EXSURF
button,Accessories,different shapes,1,5,E,E-EXSURF,E,E-QUANT
button,Accessories,has holes,1,10,E,E-EXSURF,E,E-EXCOMP
button,Accessories,used for buttoning up,2,16,S,S-FUNC,S,S-FUNC
button,Accessories,found on clothing,1,13,S,S-LOC,E,E-WHOLE
button,Accessories,made of plastic,1,5,E,E-MAT,E,E-MAT
button,Accessories,made of wood,1,5,E,E-MAT,E,E-MAT
button,Accessories,found in the coat,1,5,S,S-LOC,E,E-EXCOMP
cactus,Plants,a plant,1,15,T,T-SUPER,T,T-SYN
cactus,Plants,is prickly,1,6,E,E-SYS,E,E-EXSURF
cactus,Plants,has flowers,1,12,E,E-EXCOMP,E,E-EXCOMP
cactus,Plants,has thorns,1,23,E,E-EXCOMP,E,E-EXCOMP
cactus,Plants,has water inside,1,5,E,E-INCOMP,E,E-INCOMP
cactus,Plants,found in the desert,1,9,S,S-LOC,S,S-LOC
cady,Containers,food,1,6,S,S-OBJECT,T,T-ONT
cady,Containers,goods,1,5,S,S-OBJECT,T,T-ONT
cady,Containers,supermarket,1,14,T,T-SUBORD,S,S-BUILD
cady,Containers,used for shopping,1,7,S,S-FUNC,S,S-FUNC
cady,Containers,has a handle,1,6,E,E-EXCOMP,E,E-EXCOMP
cady,Containers,made of fabric,1,5,E,E-MAT,E,E-MAT
cady,Containers,made of nylon,1,5,E,E-MAT,E,E-MAT
cady,Containers,made of plastic,1,7,E,E-MAT,E,E-MAT
cage,Constructions,animals,1,7,S,S-LIVING,S,S-FUNC
cage,Constructions,birds,1,14,S,S-LIVING,S,S-OBJECT
cage,Constructions,used to enclose,1,16,S,S-FUNC,S,S-FUNC
cage,Constructions,made of metal,1,5,E,E-MAT,E,E-MAT
cake,Food,celebration,1,7,S,S-EVENT,S,S-EVENT
cake,Food,is eaten,1,5,S,S-ACTION,E,E-BEH
cake,Food,is sweet,1,13,E,E-INSURF,E,E-INSURF
cake,Food,has chocolate,1,5,E,E-EXCOMP,E,E-INCOMP
cake,Food,has cream,1,6,E,E-EXCOMP,E,E-INCOMP
cake,Food,tastes good,1,7,I,I-EVAL,E,E-INSURF
cake,Food,found in weddings,1,5,S,S-EVENT,S,S-EVENT
cake,Food,has caramel milk,2,7,E,E-INCOMP,E,E-INCOMP
calipers,Tools,a tool,1,5,T,T-SUPER,T,T-SUBORD
calipers,Tools,used for measuring,1,12,S,S-FUNC,S,S-FUNC
camel,Animals,an animal,1,12,T,T-SUPER,T,T-SYN
camel,Animals,a quadruped,1,9,T,T-SUPER,T,T-SUPER
camel,Animals,is tall,1,5,E,E-QUANT,E,E-SYS
camel,Animals,used for transportation,1,5,S,S-ACTION,S,S-FUNC
camel,Animals,has hair,1,6,E,E-EXCOMP,E,E-EXCOMP
camel,Animals,has a heap,1,21,E,E-EXCOMP,E,E-EXCOMP
camel,Animals,lives in the desert,1,16,S,S-LOC,S,S-LOC
