cue,category,response,nWords,frequency,human1,human2,model1,model2
artichoke,Vegetables,green,1,12,E,E-EXSURF,E,E-EXSURF
artichoke,Vegetables,vegetable,1,8,T,T-SUPER,T,T-ONT
artichoke,Vegetables,good,1,7,I,I-EVAL,I,I-EVAL
ashtray,Objects,decorative,1,8,E,E-SYS,E,E-ABSTR
ashtray,Objects,cigarettes,1,21,S,S-FUNC,S,S-OBJECT
ashtray,Objects,throw,1,18,S,S-FUNC,S,S-ACTION
ashtray,Objects,glass,1,9,E,E-MAT,E,E-MAT
ashtray,Objects,wood,1,7,E,E-MAT,E,E-MAT
ashtray,Objects,unpleasant,1,5,I,I-EVAL,I,I-EVAL
asparagus,Vegetables,eaten,1,12,S,S-ACTION,S,S-ACTION
asparagus,Vegetables,green,1,9,E,E-EXSURF,E,E-EXSURF
asparagus,Vegetables,long,1,6,E,E-QUANT,E,E-QUANT
asparagus,Vegetables,vegetable,1,17,T,T-SUPER,T,T-ONT
asparagus,Vegetables,good,1,6,I,I-EVAL,I,I-EVAL
avocado,Fruits,creamy,1,6,E,E-EXSURF,E,E-INSURF
avocado,Fruits,eaten,1,6,S,S-ACTION,S,S-ACTION
avocado,Fruits,fruit,1,21,T,T-SUPER,T,T-ONT
avocado,Fruits,green,1,16,E,E-EXSURF,E,E-EXSURF
avocado,Fruits,salad,1,10,S,S-ACTION,S,S-OBJECT
avocado,Fruits,good,1,9,I,I-EVAL,I,I-EVAL
avocado,Fruits,pit,1,5,E,E-INCOMP,E,E-INCOMP
axe,Tools,tool,1,13,T,T-SUPER,T,T-SYN
axe,Tools,cutting,1,25,S,S-FUNC,S,S-ACTION
axe,Tools,chopping down,2,10,S,S-FUNC,S,S-ACTION
axe,Tools,metal,1,6,E,E-MAT,E,E-MAT
ball,Objects,children,1,5,S,S-PERSON,S,S-PERSON
ball,Objects,football,1,15,S,S-EVENT,T,T-SUBORD
ball,Objects,game,1,10,S,S-SOCART,S,S-EVENT
ball,Objects,round,1,8,E,E-EXSURF,E,E-EXSURF
ball,Objects,rubber,1,5,E,E-MAT,E,E-MAT
balloon,Toys,blown,1,11,S,S-ACTION,S,S-ACTION
balloon,Toys,children,1,6,S,S-PERSON,S,S-PERSON
balloon,Toys,explodes,1,5,E,E-BEH,E,E-BEH
balloon,Toys,game,1,9,S,S-SOCART,S,S-EVENT
balloon,Toys,ornament,1,8,T,T-SUPER,S,S-OBJECT
balloon,Toys,colors,1,15,E,E-EXSURF,E,E-EXSURF
balloon,Toys,air,1,8,E,E-INCOMP,E,E-INCOMP
balloon,Toys,parties,1,22,S,S-EVENT,S,S-EVENT
banana,Fruits,dessert,1,5,T,T-SUPER,S,S-FUNC
banana,Fruits,foodstuff,1,9,T,T-SUPER,T,T-SYN
banana,Fruits,fruit,1,16,T,T-SUPER,T,T-ONT
banana,Fruits,sweet,1,5,E,E-INSURF,E,E-INSURF
banana,Fruits,smoothies,1,10,S,S-ACTION,S,S-FUNC
banana,Fruits,yellow,1,13,E,E-EXSURF,E,E-EXSURF
banana,Fruits,potasium,1,12,E,E-INCOMP,E,E-MAT
banana,Fruits,skin,1,6,E,E-EXCOMP,E,E-EXCOMP
banana,Fruits,good,1,11,I,I-EVAL,I,I-EVAL
banana,Fruits,monkeys,1,6,S,S-ACTION,S,S-PERSON
barn,Constructions,storing,1,5,S,S-FUNC,S,S-FUNC
barn,Constructions,storing,1,9,S,S-FUNC,S,S-FUNC
barn,Constructions,farm animals,2,13,S,S-FUNC,S,S-SOCORG
barn,Constructions,farm animals,2,7,S,S-FUNC,S,S-SOCORG
barn,Constructions,wood,1,5,E,E-MAT,E,E-MAT
barn,Constructions,field,1,15,S,S-LOC,S,S-LOC
barrel,Containers,beer,1,17,S,S-OBJECT,S,S-OBJECT
barrel,Containers,wine,1,24,S,S-OBJECT,S,S-OBJECT
barrel,Containers,wood,1,17,E,E-MAT,E,E-MAT
barrel,Containers,cellar,1,6,S,S-LOC,S,S-LOC
baseball bat,Objects,ball,1,8,S,S-OBJECT,S,S-OBJECT
baseball bat,Objects,game,1,8,S,S-SOCART,S,S-EVENT
baseball bat,Objects,stick,1,10,S,S-OBJECT,T,T-SYN
baseball bat,Objects,hitting,1,6,S,S-FUNC,S,S-FUNC
baseball bat,Objects,playing,1,14,S,S-FUNC,S,S-ACTION
baseball bat,Objects,playing,1,9,S,S-FUNC,S,S-ACTION
baseball bat,Objects,wood,1,12,E,E-MAT,E,E-MAT
baseball glove,Objects,ball,1,7,S,S-OBJECT,S,S-OBJECT
baseball glove,Objects,catching,1,5,S,S-FUNC,S,S-FUNC
baseball glove,Objects,playing,1,11,S,S-FUNC,S,S-ACTION
baseball glove,Objects,playing,1,14,S,S-FUNC,S,S-ACTION
baseball glove,Objects,protecting,1,13,S,S-FUNC,S,S-FUNC
baseball glove,Objects,hand,1,6,S,S-LOC,E,E-WHOLE
baseball glove,Objects,leather,1,15,E,E-MAT,E,E-MAT
basin,House parts,hygiene,1,6,I,I-REP,S,S-SOCART
basin,House parts,soap,1,5,S,S-OBJECT,S,S-OBJECT
basin,House parts,bathing,1,10,S,S-FUNC,S,S-FUNC
basin,House parts,relaxing,1,6,S,S-FUNC,I,I-EMOT
basin,House parts,water,1,8,S,S-OBJECT,S,S-OBJECT
basin,House parts,bathroom,1,15,S,S-LOC,S,S-LOC
basket,Containers,bread,1,7,S,S-FUNC,S,S-FUNC
basket,Containers,fruit,1,8,S,S-LIVING,S,S-OBJECT
basket,Containers,picnic,1,5,S,S-EVENT,S,S-EVENT
basket,Containers,storing,1,6,S,S-FUNC,S,S-FUNC
basket,Containers,useful,1,8,I,I-EVAL,I,I-EVAL
basket,Containers,wicker,1,11,E,E-MAT,E,E-MAT
bat,Animals,animal,1,9,T,T-SUPER,T,T-ONT
bat,Animals,bind,1,7,E,E-SYS,S,S-ACTION
bat,Animals,black,1,7,E,E-EXSURF,E,E-EXSURF
bat,Animals,bug,1,5,T,T-SUPER,S,S-LIVING
bat,Animals,flies,1,10,E,E-BEH,E,E-BEH
bat,Animals,night,1,16,E,E-BEH,S,S-TIME
bat,Animals,ugly,1,17,I,I-EVAL,I,I-EVAL
beach shovel,Toys,broom,1,6,S,S-OBJECT,T,T-COORD
beach shovel,Toys,cleaning,1,5,S,S-FUNC,S,S-FUNC
beach shovel,Toys,garbage,1,16,S,S-FUNC,S,S-OBJECT
beach shovel,Toys,plastic,1,9,E,E-MAT,E,E-MAT
bear,Animals,aggressive,1,11,E,E-SYS,E,E-BEH
bear,Animals,animal,1,13,T,T-SUPER,T,T-ONT
bear,Animals,big,1,15,E,E-QUANT,E,E-SYS
bear,Animals,grizzly,1,5,E,E-EXSURF,T,T-SUBORD
bear,Animals,white,1,7,E,E-EXSURF,E,E-EXSURF
bear,Animals,hair,1,9,E,E-EXCOMP,E,E-EXCOMP
bed,Furniture,resting,1,16,S,S-FUNC,S,S-FUNC
bed,Furniture,sleeping,1,7,S,S-FUNC,S,S-FUNC
bee,Animals,bites,1,17,E,E-BEH,E,E-BEH
bee,Animals,drone,1,5,T,T-SUBORD,T,T-SUBORD
bee,Animals,flies,1,5,E,E-BEH,E,E-BEH
bee,Animals,hardworking,1,5,E,E-SYS,I,I-EVAL
bee,Animals,insect,1,8,T,T-SUPER,T,T-SYN
bee,Animals,queen,1,9,T,T-SUBORD,T,T-SUBORD
bee,Animals,honey,1,30,E,E-BEH,E,E-INCOMP
bee,Animals,beehive,1,10,S,S-LOC,E,E-WHOLE
bee,Animals,hive,1,12,S,S-LOC,S,S-LOC
beetle,Animals,animal,1,5,T,T-SUPER,T,T-ONT
beetle,Animals,black,1,11,E,E-EXSURF,E,E-EXSURF
beetle,Animals,bug,1,5,T,T-SUPER,T,T-SYN
beetle,Animals,insect,1,11,T,T-SUPER,T,T-SYN
beetle,Animals,small,1,9,E,E-QUANT,E,E-QUANT
beetle,Animals,ugly,1,5,I,I-EVAL,I,I-EVAL
bell,Objects,alarm,1,5,S,S-FUNC,S,S-FUNC
bell,Objects,noisy,1,8,E,E-SYS,E,E-SYS
bell,Objects,rings,1,8,E,E-BEH,E,E-BEH
bell,Objects,sound,1,7,S,S-FUNC,E,E-EXSURF
bell,Objects,calling,1,7,S,S-ACTION,S,S-FUNC
bell,Objects,bronze,1,9,E,E-MAT,E,E-MAT
bell,Objects,metal,1,5,E,E-MAT,E,E-MAT
bell,Objects,church,1,20,S,S-LOC,S,S-BUILD
bell,Objects,school,1,13,S,S-LOC,S,S-SOCORG
belt,Clothing,fastenning,1,12,S,S-FUNC,S,S-FUNC
belt,Clothing,hold,1,11,S,S-FUNC,S,S-FUNC
belt,Clothing,pants,1,12,S,S-LOC,S,S-FUNC
belt,Clothing,colors,1,5,E,E-EXSURF,E,E-EXSURF
belt,Clothing,buckle,1,14,E,E-EXCOMP,E,E-EXCOMP
belt,Clothing,leather,1,18,E,E-MAT,E,E-MAT
bench,Furniture,comfortable,1,5,I,I-EVAL,I,I-EVAL
bench,Furniture,rest,1,10,S,S-FUNC,S,S-FUNC
bench,Furniture,resting,1,7,S,S-FUNC,S,S-ACTION
bench,Furniture,sitting,1,5,S,S-FUNC,S,S-FUNC
bench,Furniture,wood,1,13,E,E-MAT,E,E-MAT
bench,Furniture,school,1,5,S,S-LOC,S,S-LOC
bench,Furniture,square,1,23,S,S-LOC,E,E-EXSURF
bicycle,Vehicles,exercise,1,12,S,S-FUNC,S,S-FUNC
bicycle,Vehicles,race,1,12,S,S-FUNC,S,S-EVENT
bicycle,Vehicles,sport,1,5,S,S-FUNC,S,S-EVENT
bicycle,Vehicles,riding,1,14,S,S-FUNC,S,S-ACTION
bicycle,Vehicles,brakes,1,7,E,E-EXCOMP,E,E-EXCOMP
bicycle,Vehicles,wheels,1,16,E,E-EXCOMP,E,E-EXCOMP
bicycle,Vehicles,transportation,1,10,T,T-SUPER,S,S-FUNC
binoculars,Tools,distance,1,6,S,S-SOCART,S,S-FUNC
binoculars,Tools,watching,1,13,S,S-FUNC,S,S-FUNC
binoculars,Tools,see,1,21,S,S-FUNC,S,S-ACTION
binoculars,Tools,magnification,1,8,E,E-SYS,E,E-SYS
bird,Animals,animal,1,7,T,T-SUPER,T,T-ONT
bird,Animals,bird,1,9,T,T-SUPER,T,T-SYN
bird,Animals,flies,1,19,E,E-BEH,E,E-BEH
bird,Animals,freedom,1,8,E,E-ABSTR,I,I-REP
bird,Animals,nest,1,6,S,S-OBJECT,S,S-OBJECT
bird,Animals,sings,1,13,E,E-BEH,E,E-BEH
bird,Animals,colors,1,11,E,E-EXSURF,E,E-EXSURF
bird,Animals,feathers,1,9,E,E-EXCOMP,E,E-EXCOMP
bird,Animals,wings,1,11,E,E-EXCOMP,E,E-EXCOMP
bird,Animals,eggs,1,5,E,E-BEH,E,E-EXCOMP
bird,Animals,beak,1,7,E,E-EXCOMP,E,E-EXCOMP
bird house,Constructions,birds,1,5,S,S-LIVING,S,S-LIVING
bird house,Constructions,nest,1,13,S,S-OBJECT,S,S-LOC
bird house,Constructions,baker bird,2,9,S,S-OBJECT,S,S-LIVING
bird house,Constructions,tree,1,8,S,S-LOC,S,S-LOC
bird nest,Constructions,home,1,5,T,T-SUPER,S,S-FUNC
bird nest,Constructions,birds,1,8,S,S-LIVING,S,S-PERSON
bird nest,Constructions,eggs,1,7,S,S-LIVING,E,E-INCOMP
bird nest,Constructions,feathers,1,5,E,E-EXCOMP,E,E-EXCOMP
bird nest,Constructions,mud,1,6,E,E-MAT,E,E-MAT
bird nest,Constructions,straw,1,10,E,E-MAT,E,E-MAT
blackboard,Utensils,black,1,11,E,E-EXSURF,E,E-EXSURF
blackboard,Utensils,eraser,1,5,S,S-OBJECT,E,E-EXCOMP
blackboard,Utensils,green,1,7,E,E-EXSURF,E,E-EXSURF
blackboard,Utensils,drawing,1,5,S,S-FUNC,S,S-ACTION
blackboard,Utensils,teaching,1,8,S,S-FUNC,S,S-FUNC
blackboard,Utensils,writing,1,20,S,S-FUNC,S,S-FUNC
blackboard,Utensils,chalk,1,14,S,S-OBJECT,S,S-OBJECT
blackboard,Utensils,school,1,17,S,S-BUILD,S,S-LOC
blimp,Vehicles,air,1,14,S,S-LOC,S,S-LOC
blimp,Vehicles,big,1,7,E,E-QUANT,E,E-QUANT
blimp,Vehicles,flying,1,12,S,S-FUNC,S,S-ACTION
blimp,Vehicles,war,1,5,S,S-EVENT,S,S-EVENT
blimp,Vehicles,gas stove,2,5,E,E-INCOMP,S,S-OBJECT
blimp,Vehicles,hot-air balloon,2,7,S,S-OBJECT,T,T-SYN
blimp,Vehicles,transportation,1,7,T,T-SUPER,S,S-FUNC
blouse,Clothing,clothing,1,16,T,T-SUPER,T,T-SUPER
blouse,Clothing,women,1,16,S,S-PERSON,S,S-PERSON
blouse,Clothing,colors,1,5,E,E-EXSURF,E,E-EXSURF
blouse,Clothing,buttons,1,7,E,E-EXCOMP,E,E-EXCOMP
blouse,Clothing,silk,1,7,E,E-MAT,E,E-MAT
blowfish,Animals,animal,1,6,T,T-SUPER,T,T-ONT
blowfish,Animals,poisonous,1,5,E,E-SYS,E,E-SYS
blowfish,Animals,sea,1,10,S,S-LOC,S,S-LOC
blowfish,Animals,water,1,11,S,S-LOC,S,S-LOC
book,Objects,reading,1,13,S,S-FUNC,S,S-FUNC
book,Objects,studying,1,8,S,S-FUNC,S,S-ACTION
book,Objects,cover,1,7,E,E-EXCOMP,E,E-EXCOMP
book,Objects,leaf,1,11,E,E-EXCOMP,E,E-EXCOMP
book,Objects,library,1,11,S,S-LOC,S,S-BUILD
boot,Clothing,comfortable,1,6,I,I-EVAL,E,E-SYS
boot,Clothing,footwear,1,8,T,T-SUPER,T,T-SUPER
boot,Clothing,cold,1,5,S,S-FUNC,E,E-SYS
boot,Clothing,rain,1,5,S,S-FUNC,S,S-TIME
boot,Clothing,leather,1,10,E,E-MAT,E,E-MAT
boot,Clothing,rubber,1,5,E,E-MAT,E,E-MAT
bottle,Containers,container,1,7,T,T-SUPER,T,T-SYN
bottle,Containers,drinks,1,5,S,S-OBJECT,S,S-OBJECT
bottle,Containers,glass,1,12,E,E-MAT,E,E-MAT
bottle,Containers,fluids,1,11,S,S-FUNC,S,S-FUNC
bottle,Containers,wine,1,5,S,S-OBJECT,S,S-OBJECT
bottle,Containers,plastic,1,7,E,E-MAT,E,E-MAT
bow,Accessories,ornament,1,8,T,T-SUPER,T,T-SYN
bow,Accessories,parties,1,5,S,S-EVENT,S,S-EVENT
bow,Accessories,colors,1,6,E,E-EXSURF,E,E-EXSURF
bow,Accessories,tying hair,2,9,S,S-FUNC,S,S-FUNC
bow,Accessories,ribbon,1,5,E,E-MAT,T,T-SYN
bow,Accessories,suit,1,6,E,E-WHOLE,S,S-OBJECT
bowl,Utensils,container,1,5,T,T-SUPER,T,T-SYN
bowl,Utensils,food,1,6,S,S-OBJECT,S,S-OBJECT
bowl,Utensils,salad,1,18,S,S-OBJECT,S,S-OBJECT
bowl,Utensils,mixing,1,10,S,S-FUNC,S,S-ACTION
bowl,Utensils,colors,1,7,E,E-EXSURF,E,E-EXSURF
bowl,Utensils,plastic,1,9,E,E-MAT,E,E-MAT
bowl,Utensils,kitchen,1,9,S,S-LOC,S,S-LOC
box,Containers,shoe,1,6,S,S-OBJECT,S,S-FUNC
box,Containers,square,1,5,E,E-EXSURF,E,E-EXSURF
box,Containers,strong,1,6,T,T-SUBORD,E,E-SYS
box,Containers,storing,1,14,S,S-FUNC,S,S-FUNC
box,Containers,cardboard,1,18,E,E-MAT,E,E-MAT
box,Containers,wood,1,15,E,E-MAT,E,E-MAT
brain,Body parts,body,1,5,E,E-WHOLE,E,E-WHOLE
brain,Body parts,important,1,5,I,I-EVAL,I,I-EVAL
brain,Body parts,organ,1,8,T,T-SUPER,T,T-ONT
brain,Body parts,think,1,11,S,S-FUNC,E,E-BEH
brain,Body parts,head,1,9,S,S-LOC,E,E-WHOLE
bread,Food,food,1,8,S,S-OBJECT,T,T-SUPER
bread,Food,foodstuff,1,12,T,T-SUPER,T,T-SUPER
bread,Food,sandwich,1,9,S,S-ACTION,S,S-FUNC
bread,Food,wheat,1,5,E,E-INCOMP,E,E-MAT
bread,Food,white,1,5,T,T-SUBORD,E,E-EXSURF
bread,Food,flour,1,14,E,E-INCOMP,E,E-MAT
bread,Food,bakeries,1,7,S,S-BUILD,S,S-LOC
bread,Food,good,1,7,I,I-EVAL,I,I-EVAL
broom,Tools,cleaning,1,17,S,S-FUNC,S,S-FUNC
broom,Tools,sweeping,1,17,S,S-FUNC,S,S-ACTION
broom,Tools,witch,1,7,S,S-PERSON,S,S-PERSON
broom,Tools,stick,1,14,E,E-EXCOMP,E,E-EXCOMP
broom,Tools,plastic,1,5,E,E-MAT,E,E-MAT
broom,Tools,straw,1,16,E,E-MAT,E,E-MAT
brush,Utensils,cleaning,1,19,S,S-FUNC,S,S-FUNC
brush,Utensils,washing,1,8,S,S-FUNC,S,S-ACTION
brush,Utensils,bristles,1,6,E,E-EXCOMP,E,E-EXCOMP
brush,Utensils,combing,1,9,S,S-FUNC,S,S-ACTION
brush,Utensils,plastic,1,5,E,E-MAT,E,E-MAT
brush,Utensils,cleaning,1,14,S,S-FUNC,S,S-FUNC
buffalo,Animals,animal,1,26,T,T-SUPER,T,T-ONT
buffalo,Animals,big,1,12,E,E-QUANT,E,E-SYS
buffalo,Animals,dangerous,1,5,I,I-EVAL,I,I-EVAL
buffalo,Animals,mammal,1,5,T,T-SUPER,T,T-ONT
buffalo,Animals,wild,1,5,E,E-SYS,E,E-SYS
buffalo,Animals,horns,1,7,E,E-EXCOMP,E,E-EXCOMP
bus,Vehicles,big,1,5,E,E-QUANT,E,E-QUANT
bus,Vehicles,driver,1,6,S,S-LIVING,S,S-PERSON
bus,Vehicles,old,1,5,E,E-SYS,E,E-SYS
bus,Vehicles,passengers,1,11,S,S-PERSON,S,S-PERSON
bus,Vehicles,traveling,1,8,S,S-FUNC,S,S-FUNC
bus,Vehicles,seats,1,7,E,E-INCOMP,E,E-EXCOMP
bus,Vehicles,interurban bus,2,5,T,T-SUBORD,T,T-SYN
bus,Vehicles,transportation,1,13,T,T-SUPER,S,S-FUNC
butterfly,Animals,colorful,1,23,E,E-EXSURF,E,E-EXSURF
butterfly,Animals,flies,1,12,E,E-BEH,E,E-BEH
butterfly,Animals,insect,1,12,T,T-SUPER,T,T-ONT
butterfly,Animals,nectar,1,5,S,S-OBJECT,S,S-ACTION
butterfly,Animals,nice,1,15,I,I-EVAL,I,I-EVAL
butterfly,Animals,spring,1,10,S,S-TIME,S,S-TIME
butterfly,Animals,wings,1,10,E,E-EXCOMP,E,E-EXCOMP
butterfly,Animals,perches,1,10,E,E-BEH,E,E-BEH
button,Accessories,ornament,1,5,T,T-SUPER,T,T-SYN
button,Accessories,sewed,1,5,S,S-ACTION,S,S-ACTION
button,Accessories,small,1,5,E,E-QUANT,E,E-QUANT
button,Accessories,useful,1,7,I,I-EVAL,S,S-FUNC
button,Accessories,colors,1,10,E,E-EXSURF,E,E-EXSURF
button,Accessories,shapes,1,5,E,E-EXSURF,E,E-EXSURF
button,Accessories,holes,1,10,E,E-EXSURF,E,E-EXCOMP
button,Accessories,buttoning up,2,16,S,S-FUNC,S,S-FUNC
button,Accessories,clothing,1,13,S,S-LOC,E,E-WHOLE
button,Accessories,plastic,1,5,E,E-MAT,E,E-MAT
button,Accessories,wood,1,5,E,E-MAT,E,E-MAT
button,Accessories,coat,1,5,S,S-LOC,E,E-WHOLE
button,Accessories,buttonhole,1,7,S,S-LOC,E,E-EXCOMP
cactus,Plants,plant,1,15,T,T-SUPER,T,T-SUPER
cactus,Plants,prickly,1,6,E,E-SYS,E,E-EXSURF
cactus,Plants,flowers,1,12,E,E-EXCOMP,E,E-EXCOMP
cactus,Plants,thorns,1,23,E,E-EXCOMP,E,E-EXCOMP
cactus,Plants,water,1,5,E,E-INCOMP,S,S-OBJECT
cactus,Plants,desert,1,9,S,S-LOC,S,S-LOC
cady,Containers,food,1,6,S,S-OBJECT,T,T-SUPER
cady,Containers,goods,1,5,S,S-OBJECT,T,T-SYN
cady,Containers,supermarket,1,14,T,T-SUBORD,S,S-LOC
cady,Containers,shopping,1,7,S,S-FUNC,S,S-EVENT
cady,Containers,handle,1,6,E,E-EXCOMP,E,E-EXCOMP
cady,Containers,fabric,1,5,E,E-MAT,E,E-MAT
cady,Containers,nylon,1,5,E,E-MAT,E,E-MAT
cady,Containers,plastic,1,7,E,E-MAT,E,E-MAT
cage,Constructions,animals,1,7,S,S-LIVING,S,S-LIVING
cage,Constructions,birds,1,14,S,S-LIVING,S,S-LIVING
cage,Constructions,enclose,1,16,S,S-FUNC,S,S-FUNC
cage,Constructions,metal,1,5,E,E-MAT,E,E-MAT
cake,Food,celebration,1,7,S,S-EVENT,S,S-EVENT
cake,Food,eaten,1,5,S,S-ACTION,S,S-ACTION
cake,Food,sweet,1,13,E,E-INSURF,E,E-INSURF
cake,Food,chocolate,1,5,E,E-EXCOMP,E,E-INCOMP
cake,Food,cream,1,6,E,E-EXCOMP,E,E-INCOMP
cake,Food,good,1,7,I,I-EVAL,I,I-EVAL
cake,Food,weddings,1,5,S,S-EVENT,S,S-EVENT
cake,Food,caramel milk,2,7,E,E-INCOMP,S,S-OBJECT
calipers,Tools,tool,1,5,T,T-SUPER,T,T-SYN
calipers,Tools,measuring,1,12,S,S-FUNC,S,S-FUNC
camel,Animals,animal,1,12,T,T-SUPER,T,T-ONT
camel,Animals,quadruped,1,9,T,T-SUPER,T,T-SYN
camel,Animals,tall,1,5,E,E-QUANT,E,E-SYS
camel,Animals,transportation,1,5,S,S-ACTION,S,S-FUNC
camel,Animals,hair,1,6,E,E-EXCOMP,E,E-EXCOMP
camel,Animals,heap,1,21,E,E-EXCOMP,I,I-REP
camel,Animals,desert,1,16,S,S-LOC,S,S-LOC
camera,Devices,moments,1,6,I,I-REP,S,S-EVENT
camera,Devices,images,1,6,S,S-FUNC,S,S-FUNC
camera,Devices,reminders,1,14,S,S-FUNC,S,S-FUNC
camera,Devices,digital camera,2,9,T,T-SUBORD,T,T-SYN
camera,Devices,celebrating,1,5,S,S-FUNC,S,S-EVENT
camera,Devices,film roll camera,3,5,T,T-SUBORD,T,T-SYN
can,Containers,container,1,5,T,T-SUPER,T,T-SYN
can,Containers,food,1,7,S,S-OBJECT,S,S-OBJECT
can,Containers,storing,1,6,S,S-FUNC,S,S-FUNC
can,Containers,food,1,5,T,T-SUPER,S,S-OBJECT
can,Containers,sheet metal,2,6,E,E-MAT,E,E-MAT
candle,Objects,fire,1,7,S,S-OBJECT,S,S-EVENT
candle,Objects,light,1,16,S,S-FUNC,S,S-FUNC
candle,Objects,praying,1,5,S,S-FUNC,S,S-ACTION
candle,Objects,lighting up,2,13,S,S-FUNC,S,S-FUNC
candle,Objects,birthday cakes,2,7,S,S-EVENT,S,S-OBJECT
candle,Objects,wax,1,8,E,E-MAT,E,E-MAT
